BILLING_PROVIDER_NPI_NUM,outlier_total_paid,outlier_total_claims,outlier_total_bene,outlier_avg_cost_per_claim,outlier_max_single_record,outlier_count,total_paid,total_claims,total_bene,num_codes,active_months,avg_cost_per_claim,max_single_record
1295869428,True,False,False,False,True,2,33845389.66,32651.0,10494.0,9,43,1301.3130685189278,4200849.09
1043385420,True,False,False,False,True,2,7475270.5200000005,29556.0,957.0,5,15,179.4374930394238,2008691.89
1073785044,False,True,True,False,False,2,1279710.6599999995,156328.0,117057.0,92,84,11.175418846778165,4110.17
1154367803,False,True,True,False,False,2,3241154.4299999997,144090.0,124414.0,137,83,29.32195249622706,22711.05
1619368842,False,True,True,False,False,2,3234566.6899999995,153531.0,117556.0,52,82,26.695477830786714,227997.0
1790837235,False,True,True,False,False,2,3531223.0100000002,102360.0,82143.0,260,84,37.719771812457566,102231.6
1366598765,True,False,False,False,True,2,7250197.39,17572.0,2196.0,6,29,472.5259584562667,971456.01
1881904829,False,True,True,False,False,2,0.0,125468.0,119710.0,208,25,0.0,0.0
1982869459,True,False,False,False,True,2,14790280.169999998,83424.0,3935.0,4,13,223.06966676833207,4667516.58
1962765693,True,False,False,False,True,2,8809893.99,52550.0,8659.0,25,73,130.1805049210887,1508965.03
1497136592,True,False,False,False,True,2,14008867.229999999,60352.0,4187.0,8,36,126.01260065185721,1604056.66
1700865094,False,True,True,False,False,2,3564469.0200000023,662914.0,485614.0,69,84,3.9836853150579947,213109.92
1083655997,False,True,True,False,False,2,1270810.8999999994,150145.0,118780.0,304,84,25.032814028299253,42313.89
1255387726,False,True,True,False,False,2,2564484.630000001,113241.0,89408.0,278,84,28.046248456826245,52803.84
1518945278,False,True,True,False,False,2,4816123.23,220010.0,191834.0,197,84,28.893007380766328,288528.01
1548208127,False,True,True,False,False,2,6368465.409999998,133010.0,104522.0,230,84,53.264385873609854,107415.04
1144228446,False,True,True,False,False,2,5942423.420000006,254020.0,203882.0,296,84,24.646067343720052,433766.45
1437213865,True,True,False,False,False,2,8850264.610000001,344397.0,56964.0,36,83,94.29622297189218,462190.84
1255354130,True,False,True,False,False,2,8611525.339999996,100412.0,80844.0,114,84,83.79460693755236,110247.23
1821186727,False,True,True,False,False,2,5913441.3100000005,130246.0,87845.0,94,84,20.451849696923748,206288.71
1225159064,True,False,False,False,True,2,13969600.130000003,52426.0,13603.0,15,68,316.47650822932053,1277845.49
1730106162,False,True,True,False,False,2,4886412.360000005,166107.0,140525.0,292,84,35.84062865740012,97850.95
1578683694,True,False,False,False,True,2,27231166.380000003,93521.0,21889.0,19,75,331.6386691257444,1650869.0
1396946505,False,False,False,True,True,2,2546186.96,581.0,124.0,1,4,4194.1379603775085,848138.5
1093254898,True,False,False,False,True,2,6756747.75,58429.0,46463.0,3,13,118.30404573682021,1127286.96
1447277355,False,True,True,False,False,2,4680786.539999999,139161.0,85671.0,113,84,22.936625545970752,157919.51
1538300686,False,True,True,False,False,2,21433.449999999997,149310.0,132877.0,511,13,0.257342152697118,4794.05
1710053780,True,False,False,False,True,2,12265714.91,70336.0,3731.0,3,10,150.0478214657706,2655697.8
1073721791,False,True,True,False,False,2,2844.4700000000003,297355.0,252030.0,98,28,0.024917586748833237,1090.4
1477615656,True,False,False,False,True,2,9965997.559999999,22773.0,2041.0,4,20,418.74392344000165,1163221.0
1568682797,False,False,False,True,True,2,2784037.6,1872.0,236.0,3,12,4378.2316507099495,850735.87
1326288937,True,False,False,False,True,2,8370119.3,67909.0,3068.0,2,16,98.32448943237648,1066029.86
1932274966,False,True,False,False,True,2,6295205.9399999995,111059.0,5711.0,8,17,87.13766295043479,887614.9
1649838533,False,False,False,True,True,2,4668710.0,22081.0,1363.0,10,21,2051.747741453948,714889.0
1578989703,True,False,False,False,True,2,7926202.790000001,3950.0,2756.0,16,58,1693.141448138061,3261868.22
1730481078,True,False,False,False,True,2,9632777.629999997,29355.0,27218.0,17,49,124.76324645157575,2027155.98
1932561198,False,False,True,False,True,2,4892504.260000002,96527.0,82961.0,178,77,6.497470160417058,1750682.28
1093782070,False,True,True,False,False,2,1003414.1399999997,115528.0,91368.0,74,84,11.382521759270793,7244.29
1215930987,False,True,True,False,False,2,4597395.179999997,380772.0,349539.0,257,84,15.163817449100923,98934.45
1821274382,False,True,True,False,False,2,6387467.210000003,128115.0,122485.0,167,81,62.817503067357556,294247.87
1649574013,True,False,False,False,True,2,6908074.069999998,49622.0,42356.0,77,83,94.6463074431331,703391.71
1043218944,False,True,True,False,False,2,6360290.0699999975,102608.0,91596.0,156,84,59.469702926930864,311371.94
1497102180,True,False,False,False,True,2,9456552.169999998,67943.0,2730.0,1,6,137.14668633058,2692005.09
1205910940,True,False,False,False,True,2,8576166.92,89066.0,5351.0,2,15,93.73537610391843,946419.77
1881946564,True,False,False,False,True,2,9171483.68,65195.0,7350.0,7,41,119.62579364568556,900902.51
1467071837,False,False,False,True,True,2,3275432.2199999997,1827.0,1176.0,2,7,2140.48557688702,860939.76
1144760018,True,False,False,False,True,2,11491306.149999999,76094.0,3709.0,3,10,142.05431390164316,2104182.45
1952703514,True,False,False,False,True,2,11568904.780000003,58872.0,3577.0,2,22,476.9557113203344,913635.78
1881697381,True,False,False,False,True,2,21523397.56,48210.0,32729.0,48,72,162.3095397108251,1985738.32
