CLAIM_FROM_MONTH,1184703415,1376609297,1417262056,1538649983,1629436241,1699703827,1699725143,1710176151,1922467554,1982757688,market_total,share_1376609297,share_1417262056,share_1699703827,share_1699725143,share_1710176151,share_1629436241,share_1982757688,share_1922467554,share_1184703415,share_1538649983,top10_combined
2018-11-01,11874719.0,0.0,0.0,17199.22,2062778.27,8275083.81,1442881.56,1162478.35,0.0,1761257.0099999998,876734010.7800003,0.0,0.0,0.9438534045962174,0.16457460783531344,0.13259190766031567,0.23527982770564776,0.2008884095226407,0.0,1.3544266395500577,0.001961737515429388,3.033576534385622
2018-12-01,1683305.4,0.0,3811982.85,0.0,2155051.6799999997,6004243.670000001,2104722.8699999996,1913815.31,0.0,1848426.5399999998,922000918.0400012,0.0,0.4134467521034091,0.6512188385629682,0.22827774124935157,0.20757195275557944,0.23373639199635834,0.2004799023334384,0.0,0.18257090281193944,0.0,2.1173024818130446
2019-01-01,0.0,419537.1,2993400.46,0.0,658058.3400000001,8933203.189999998,3968347.8900000006,308469.18,0.0,3930181.42,1057515797.3499967,0.03967194637198875,0.2830596448299959,0.8447347275932422,0.37525187802812854,0.02916922666999259,0.06222680943859303,0.3716428094831819,0.0,0.0,0.0,2.005757042415123
2019-02-01,0.0,0.0,15602380.08,0.0,691848.2600000001,6446167.82,966022.1500000003,330289.03,0.0,1805628.2699999998,951916157.9299994,0.0,1.6390498207245838,0.6771781071578395,0.10148185236194279,0.03469728160915285,0.07267953739796444,0.1896835403998657,0.0,0.0,0.0,2.714770139651349
2019-03-01,0.0,0.0,1098964.56,719584.78,2439915.62,10228116.850000003,4965017.890000001,2478145.6100000003,0.0,2431309.1200000006,1028575097.7899989,0.0,0.10684339552466712,0.9943967019983452,0.4827083506754014,0.240929963725989,0.23721317240154985,0.23637643233089373,0.0,0.0,0.06995938182307769,2.3684273984799242
2019-04-01,0.0,0.0,71701.78,30.0,299539.2,7400352.379999999,2231103.4899999993,2768291.21,99930.01,4294043.8100000005,1045190587.5999969,0.0,0.006860163194221268,0.7080385594547829,0.21346379468677928,0.26485994447736527,0.02865881146976384,0.41083835435794863,0.009560936654573474,0.0,2.8702899122816483e-06,1.6422834345853465
2019-05-01,0.0,435985.01,350276.60000000003,0.0,2067897.1900000002,9857670.6,4583420.3900000015,240270.86,0.0,2813016.5100000002,1066504186.0599989,0.04087982172959541,0.03284343414478584,0.9242974128791119,0.42976112517031884,0.022528824841057206,0.19389489671291976,0.2637604752769106,0.0,0.0,0.0,1.9079659907546997
2019-06-01,0.0,0.0,916482.29,731017.74,1049759.32,5069666.24,752932.3400000001,426295.93999999994,0.0,1693944.1699999997,966177853.7600023,0.0,0.09485647869420669,0.5247135628570618,0.07792895863529364,0.04412189105153009,0.10865073297993016,0.17532425975277777,0.0,0.0,0.07566078410461932,1.1012566680754197
2019-07-01,8590207.31,51551.52,2364294.0300000003,0.0,480041.23,7844255.879999999,1222831.5100000002,933838.14,13142331.05,1252269.01,1009565693.7500011,0.005106306634540388,0.2341892206358461,0.7769931098651688,0.12112451102194545,0.09249899692324991,0.04754928113859549,0.124040368819238,1.3017806697831829,0.8508814595404819,0.0,3.554163924362249
2019-08-01,0.0,0.0,44571.04,0.0,2111441.18,10070026.830000002,13609605.57,70742.21,0.0,2232398.1299999994,1031496515.4400011,0.0,0.004321007326039053,0.9762540812563456,1.3194039307243426,0.006858211243672869,0.20469687957203925,0.21642323523000315,0.0,0.0,0.0,2.7279573453524426
2019-09-01,0.0,0.0,1367875.8599999999,0.0,2141747.46,8919588.549999999,3992042.8599999994,1462616.09,110991.73,1091188.09,1027533756.9599996,0.0,0.1331222308498084,0.8680579581530212,0.38850722255691345,0.14234238827609996,0.20843572734159577,0.10619486538606035,0.010801759966346365,0.0,0.0,1.8574621525298454
