CLAIM_FROM_MONTH,total_paid,total_claims,providers,velocity_paid,velocity_claims,accel_paid,accel_claims,velocity_pct,accel_pct
2023-03-01,1786076120.400001,29722614.0,102037,274218411.2999902,4225893.0,404486950.43997955,6270857.0,18.13784522507933,26.07076385905213
2023-04-01,1569038874.0800045,25752147.0,95840,-217037246.3199966,-3970467.0,-491255657.6199868,-8196360.0,-12.151623541744117,-30.289468766823447
2023-05-01,1758354669.1400058,28404802.0,99627,189315795.06000137,2652655.0,406353041.37999797,6623122.0,12.065717311880197,24.217340853624314
2023-06-01,1586216492.690003,25689157.0,95463,-172138176.4500029,-2715645.0,-361453971.5100043,-5368300.0,-9.789730107987483,-21.85544741986768
2023-07-01,1540875399.0300012,24514435.0,91890,-45341093.660001755,-1174722.0,126797082.79000115,1540923.0,-2.8584429596435146,6.9312871483439675
2023-08-01,1651386328.3799992,27023584.0,99514,110510929.349998,2509149.0,155852023.00999975,3683871.0,7.171957539173235,10.03040049881675
2023-09-01,1654083948.4600105,26595011.0,94540,2697620.080011368,-428573.0,-107813309.26998663,-2937722.0,0.1633548754553127,-7.008602663717922
2023-10-01,1763283868.5699992,28030104.0,98660,109199920.10998869,1435093.0,106502300.02997732,1863666.0,6.601836636626346,6.438481761171033
2023-11-01,1604289113.1200166,25600554.0,94301,-158994755.44998264,-2429550.0,-268194675.55997133,-3864643.0,-9.016968752678789,-15.618805389305134
2023-12-01,1715724770.0000095,25258617.0,89414,111435656.87999296,-341937.0,270430412.3299756,2087613.0,6.946108152742703,15.963076905421492
2024-01-01,1712908829.1300042,26749990.0,95145,-2815940.870005369,1491373.0,-114251597.74999833,1833310.0,-0.16412544245107963,-7.110233595193782
2024-02-01,1654899015.5799975,27011035.0,94876,-58009813.55000663,261045.0,-55193872.68000126,-1230328.0,-3.386625870769211,-3.2225004283181313
2024-03-01,1718437519.4200072,26150360.0,94120,63538503.84000969,-860675.0,121548317.39001632,-1121720.0,3.8394187948526337,7.226044665621845
2024-04-01,1687234608.8200073,25831697.0,94719,-31202910.599999905,-318663.0,-94741414.4400096,542012.0,-1.815772191154863,-5.655190986007497
2024-05-01,1633758224.6800036,25185491.0,93220,-53476384.14000368,-646206.0,-22273473.540003777,-327543.0,-3.1694693707950417,-1.3536971796401787
2024-06-01,1519830399.2299953,22366966.0,86324,-113927825.45000839,-2818525.0,-60451441.31000471,-2172319.0,-6.973358954157549,-3.803889583362507
2024-07-01,1525051557.1800041,23376900.0,88405,5221157.950008869,1009934.0,119148983.40001726,3828459.0,0.3435355650639682,7.316894519221517
2024-08-01,1550835174.760002,24078089.0,89995,25783617.579997778,701189.0,20562459.62998891,-308745.0,1.690671863427018,1.3471362983630497
2024-09-01,1507441832.6100023,23114637.0,86861,-43393342.14999962,-963452.0,-69176959.7299974,-1664641.0,-2.7980628023036025,-4.48873466573062
2024-10-01,1561997905.7799985,23932708.0,88480,54556073.16999626,818071.0,97949415.31999588,1781523.0,3.619116306168668,6.41717910847227
2024-11-01,1274333876.0900044,18314642.0,72918,-287664029.6899941,-5618066.0,-342220102.85999036,-6436137.0,-18.416415836764287,-22.035532142932954
2024-12-01,411110120.89999974,6179992.0,37684,-863223755.1900047,-12134650.0,-575559725.5000106,-6516584.0,-67.73921429748104,-49.322798460716754
