CLAIM_FROM_MONTH,billing_type,total_paid
2021-07-01,Third-Party,52172870.92000002
2021-08-01,Same,59673936.84000002
2021-08-01,Third-Party,58163347.40999998
2021-09-01,Same,112272210.7
2021-09-01,Third-Party,57554691.41000004
2021-10-01,Third-Party,57541376.76999995
2021-10-01,Same,61231816.83000004
2021-11-01,Third-Party,54652990.70999997
2021-11-01,Same,92257361.8099999
2021-12-01,Same,101743429.63000001
2021-12-01,Third-Party,52510024.8
2022-01-01,Same,76434738.70000006
2022-01-01,Third-Party,53715236.20000004
2022-02-01,Same,107718155.70000012
2022-02-01,Third-Party,52466297.67
2022-03-01,Same,138419263.18999994
2022-03-01,Third-Party,61816382.69000001
2022-04-01,Third-Party,56325573.03000003
2022-04-01,Same,96808785.30000028
2022-05-01,Same,83545225.65999995
2022-05-01,Third-Party,59202784.59999995
2022-06-01,Same,84871456.38999993
2022-06-01,Third-Party,61797988.62999996
2022-07-01,Third-Party,57743768.14999997
2022-07-01,Same,205462792.11999977
2022-08-01,Same,91382833.26999982
2022-08-01,Third-Party,58619636.55000002
2022-09-01,Same,84402042.64000006
2022-09-01,Third-Party,61131724.72000002
2022-10-01,Same,96425557.46999983
2022-10-01,Third-Party,62763017.350000024
2022-11-01,Third-Party,59164180.75999999
2022-11-01,Same,87405346.81000002
2022-12-01,Same,110791394.94000004
2022-12-01,Third-Party,58996468.71000005
2023-01-01,Third-Party,64429185.32000003
2023-01-01,Same,88238035.24999985
2023-02-01,Same,86714588.86999984
2023-02-01,Third-Party,62623265.00999998
2023-03-01,Same,118538339.87000002
2023-03-01,Third-Party,65592970.99999995
2023-04-01,Third-Party,62319323.42000005
2023-04-01,Same,100694663.34000008
2023-05-01,Third-Party,65615747.25000002
2023-05-01,Same,79873305.45000014
2023-06-01,Same,95426423.20999995
2023-06-01,Third-Party,56503355.57000001
2023-07-01,Third-Party,62153974.090000145
2023-07-01,Same,94575917.32000004
2023-08-01,Third-Party,62027938.410000026
2023-08-01,Same,89751108.39999992
2023-09-01,Same,101907245.23999986
2023-09-01,Third-Party,66798554.719999984
2023-10-01,Same,86122148.30999994
2023-10-01,Third-Party,69707087.39999999
2023-11-01,Third-Party,66323762.97999997
2023-11-01,Same,98820061.48000014
2023-12-01,Same,100024647.18999982
2023-12-01,Third-Party,57028874.63999992
2024-01-01,Third-Party,65347092.38999998
2024-01-01,Same,94167246.97000006
2024-02-01,Same,109362702.18000013
2024-02-01,Third-Party,62728393.629999995
2024-03-01,Third-Party,60559647.389999926
2024-03-01,Same,93802095.19000013
2024-04-01,Same,108948644.89999974
2024-04-01,Third-Party,58192525.28000002
2024-05-01,Third-Party,61928203.06999992
2024-05-01,Same,114297017.79000004
2024-06-01,Third-Party,66361744.389999986
2024-06-01,Same,78486793.1100001
2024-07-01,Same,80611649.95000006
2024-07-01,Third-Party,57872091.95000006
2024-08-01,Third-Party,58898835.9699999
2024-08-01,Same,89039313.08
2024-09-01,Same,98316759.16999985
2024-09-01,Third-Party,57728689.00000005
2024-10-01,Same,102716018.4000002
2024-10-01,Third-Party,62325688.59000007
2024-11-01,Third-Party,48274716.4
2024-11-01,Same,69652550.81000002
2024-12-01,Third-Party,13923611.09
2024-12-01,Same,21681789.449999984
