CLAIM_FROM_MONTH,billing_type,total_paid
2022-08-01,Same,4613060707.630008
2022-08-01,Third-Party,3262915234.6900177
2022-09-01,Same,4574123221.38001
2022-09-01,Third-Party,3082073130.4199944
2022-10-01,Third-Party,3195366111.469995
2022-10-01,Same,4810220545.3199835
2022-11-01,Same,4595242581.099981
2022-11-01,Third-Party,3132442853.5799975
2022-12-01,Same,4601140360.090006
2022-12-01,Third-Party,2962420380.629999
2023-01-01,Same,5066466578.38002
2023-01-01,Third-Party,3279836781.220002
2023-02-01,Same,4749178156.679999
2023-02-01,Third-Party,3034846507.7399817
2023-03-01,Same,5336669282.590026
2023-03-01,Third-Party,3472317763.5700045
2023-04-01,Same,4991049962.089996
2023-04-01,Third-Party,3065754807.3100004
2023-05-01,Same,5212417953.990047
2023-05-01,Third-Party,3456794237.5800095
2023-06-01,Same,4946795239.340006
2023-06-01,Third-Party,3059121604.5600095
2023-07-01,Third-Party,2926677761.9400005
2023-07-01,Same,4979546195.520016
2023-08-01,Third-Party,3392463460.900005
2023-08-01,Same,5206871319.560028
2023-09-01,Third-Party,3194603431.319994
2023-09-01,Same,4847148744.430005
2023-10-01,Third-Party,3406830348.919988
2023-10-01,Same,5308534035.440022
2023-11-01,Same,5032146162.110013
2023-11-01,Third-Party,3230871688.879997
2023-12-01,Third-Party,3039345873.9400024
2023-12-01,Same,4870420905.570011
2024-01-01,Third-Party,3449496351.610001
2024-01-01,Same,5354576066.519997
2024-02-01,Third-Party,3357811381.2400064
2024-02-01,Same,5258327277.590032
2024-03-01,Same,5527918509.060043
2024-03-01,Third-Party,3336898303.140009
2024-04-01,Same,5590597076.80999
2024-04-01,Third-Party,3359558263.530006
2024-05-01,Same,5363947875.520046
2024-05-01,Third-Party,3333257405.230003
2024-06-01,Same,5085194719.640011
2024-06-01,Third-Party,2826210085.7700043
2024-07-01,Same,5263085041.500052
2024-07-01,Third-Party,2999467665.719994
2024-08-01,Third-Party,3078361437.589999
2024-08-01,Same,5072335119.830012
2024-09-01,Same,4978035799.280016
2024-09-01,Third-Party,2883496690.4800024
2024-10-01,Same,5173716502.410041
2024-10-01,Third-Party,3011277672.359975
2024-11-01,Third-Party,2349352845.450002
2024-11-01,Same,4113158080.2999997
2024-12-01,Third-Party,814573377.5299997
2024-12-01,Same,1281466972.6099982
