HCPCS_CODE,first_seen,last_seen,months_active,total_paid,provider_count,first_dt,last_dt,first_quarter,last_quarter
V2211,2018-01,2024-11,80,163960.55,16,2018-01-01,2024-11-01,2018Q1,2024Q4
94250,2018-01,2021-08,37,96604.71,40,2018-01-01,2021-08-01,2018Q1,2021Q3
87533,2019-01,2024-11,63,39915.15000000001,14,2019-01-01,2024-11-01,2019Q1,2024Q4
70320,2018-01,2024-11,79,187221.5,30,2018-01-01,2024-11-01,2018Q1,2024Q4
E0779,2018-01,2024-10,73,142275.31,12,2018-01-01,2024-10-01,2018Q1,2024Q4
J2780,2018-01,2023-12,52,120952.03999999998,53,2018-01-01,2023-12-01,2018Q1,2023Q4
E0951,2018-01,2024-12,84,1173224.9899999995,299,2018-01-01,2024-12-01,2018Q1,2024Q4
A4412,2018-01,2024-12,76,133232.49,13,2018-01-01,2024-12-01,2018Q1,2024Q4
92228,2018-04,2024-12,77,1675569.23,97,2018-04-01,2024-12-01,2018Q2,2024Q4
67840,2018-08,2024-10,16,18814.399999999998,6,2018-08-01,2024-10-01,2018Q3,2024Q4
90747,2018-01,2024-12,79,164741.02000000002,104,2018-01-01,2024-12-01,2018Q1,2024Q4
D9211,2018-01,2024-11,75,135031.72999999998,28,2018-01-01,2024-11-01,2018Q1,2024Q4
G8433,2018-01,2024-12,84,26700.149999999998,222,2018-01-01,2024-12-01,2018Q1,2024Q4
G0443,2018-01,2024-11,82,78366.08000000002,107,2018-01-01,2024-11-01,2018Q1,2024Q4
93280,2018-01,2024-11,83,838675.8700000001,395,2018-01-01,2024-11-01,2018Q1,2024Q4
00862,2018-06,2024-03,10,17799.32,4,2018-06-01,2024-03-01,2018Q2,2024Q1
E0181,2018-01,2024-12,84,753848.9199999999,193,2018-01-01,2024-12-01,2018Q1,2024Q4
93016,2018-01,2024-12,84,3571537.6000000006,1269,2018-01-01,2024-12-01,2018Q1,2024Q4
L3931,2018-05,2023-07,22,26449.050000000003,5,2018-05-01,2023-07-01,2018Q2,2023Q3
A0396,2018-02,2024-03,68,21163.42,10,2018-02-01,2024-03-01,2018Q1,2024Q1
0014M,2022-09,2023-11,9,12197.32,3,2022-09-01,2023-11-01,2022Q3,2023Q4
92542,2018-01,2024-09,62,69567.05000000002,26,2018-01-01,2024-09-01,2018Q1,2024Q3
