BILLING_PROVIDER_NPI_NUM,flagged_codes,max_excess_ratio,total_excess_paid
1023049236,1511,133607.46153846156,45532297.46
1134271661,1007,73.99423198099946,45197128.65
1104856095,1033,75502.16666666666,45104840.27
1710087127,2669,27469.98936170213,44922172.08
1598043747,45,19.235762632711918,44901367.37
1073580163,47,57.90688458972641,44859225.38
1104819366,4156,3020.9351851851857,44766117.42
1447233788,4112,113589.41666666667,44715567.17
1396857488,974,340365.2631578947,44521628.06
1710901939,23,1642.7362103508342,44499106.0
1053363119,2569,217086.24999999997,44424127.14
1770662348,1808,213.03703703703704,43578490.96
1285688556,46,25.961872432430404,42842488.49
1770538001,768,9898.0,42827284.14
1700090834,925,12744.0,42716642.98
1952390239,2084,377861.7368421052,42711551.39
1003213752,36,43.2207217066498,42709822.76
1376760835,23,1532.3892530729845,42633848.0
1205083672,48,23.89504142701781,42360884.21
1548378235,1101,17422.416666666664,42156134.81
1003813718,49,719403.8378378378,41628058.75
1407969728,1237,65400.0,41537631.27
1619341716,4143,432000.0,41459278.89
1235261009,27,1413.5438694579839,41129481.0
1659347623,2170,40.680128330875974,40953702.55
1275697195,507,11.712528052983316,40922821.92
1043263080,424,3167.772727272727,40911593.92
1053477075,437,14433.000000000002,40367991.81
1114924834,2752,22798.894736842103,40357613.06
1689769911,319,363908.07692307694,40148798.21
1821341298,33,24.09403650997403,40115162.16
1528138088,1236,11627.941176470587,40083113.27
1154355188,377,234803.66666666663,40073070.28
1548266547,4528,15277.0,39721844.09
1104981661,1409,18780.76923076923,39471729.27
1275583726,1063,27317.76923076923,39279633.65
1124595764,26,40.748155349756004,39219638.71
1366866345,598,15268.0,38972099.73
1619007630,120,53.86200656921233,38839642.68
1588708648,79,15.583151879945286,38291208.8
1073665360,910,35157.83333333333,38242834.04
1255385399,485,60.808845434561505,38152513.43
1013093616,118,18.788400243114026,38048529.13
1194706655,1096,418231.26666666666,37433268.47
1831151455,1884,70880.33333333334,37281104.41
1881697381,159,100.60933333333334,37252527.89
1063431070,54,22.013140277633404,37237146.089999996
1235574617,51,33.797453622634904,37019481.57
1386643294,3324,170475.85714285713,37010415.78
1447645296,829,7965.517241379311,36948982.21
1679970891,921,17.180252689247624,36745199.08
1790717650,1369,27216.969230769228,36675379.52
1528190931,1372,16035.461538461539,36132553.52
1487649430,3640,460893.3,35951051.87
1689747552,3650,221169.86666666667,35793411.49
1245520386,2080,74160.57575757576,35525687.49
1265848675,17,30.087868256367244,35523540.39
1144211301,3043,8790.459459459458,35522808.72
