BILLING_PROVIDER_NPI_NUM,flagged_codes,max_claims_per_bene,total_paid
1366143810,1,58.17333333333333,396318.7
1366846016,1,58.11666666666667,0.0
1427194521,2,58.029411764705884,144150.41999999998
1699879460,1,57.982587064676615,145200.05000000002
A983422400,1,57.708333333333336,62355.74
1467869214,1,57.681592039801,1232332.05
1154362093,1,57.68103448275862,3861351.5999999996
1023587854,1,57.61579509071505,413589.80000000005
1992731848,1,57.52394366197183,1606352.7000000002
1003896606,1,57.49136276391555,2894627.8799999994
1154851012,1,57.40489130434783,2648314.6700000004
1710316252,1,57.324929971988794,531398.68
1003454729,1,57.27860696517413,471378.92000000004
1558971606,1,57.257861635220124,519869.71
1568121929,1,57.08571428571429,16712.510000000002
1578721320,1,57.027624309392266,974469.4300000003
1407077613,1,56.8719512195122,707749.33
1477165843,1,56.7799043062201,289302.06000000006
1558061242,1,56.766666666666666,195959.9
1184164436,1,56.53584905660377,2184884.75
1255638508,1,56.490196078431374,248179.08000000002
1407103005,1,56.42857142857143,0.0
1154842185,1,56.416666666666664,44653.37
1023146966,1,56.36842105263158,19875.82
1568213304,1,56.36363636363637,174470.99
1205924826,4,56.346666666666664,252557.32
1962809632,1,56.3,152332.44
1053025429,1,56.22222222222222,82739.44
1972954923,1,56.20238095238095,6066.48
1124037189,1,56.125,879.6
1023413093,1,56.12307692307692,32956.9
1780891614,1,55.989234449760765,2924429.51
1649631086,1,55.91346153846154,48640.87
1477177111,1,55.733333333333334,278216.06999999995
1083810055,1,55.67829181494662,3867492.92
1346678190,1,55.583333333333336,11884.8
1619400058,1,55.53333333333333,18580731.099999998
1619923604,1,55.38178913738019,4740961.36
1760833313,1,55.254320987654324,2454117.6100000003
1568730554,1,55.208333333333336,730208.5
1215196811,1,55.107638888888886,2366500.48
1437546967,1,55.065891472868216,219907.83000000002
1558318451,1,55.01538461538462,1026895.67
1295403137,1,54.85923753665689,583058.6900000001
1942304332,1,54.85279187817259,1245639.5399999998
1952357568,1,54.83645500228415,12291805.120000003
1093231722,1,54.802919708029194,1948604.7000000002
1174949168,1,54.77272727272727,0.0
1518951359,1,54.72727272727273,17272.5
1407965122,1,54.70796460176991,485326.56000000006
1013383520,1,54.598922624877574,550941.9299999998
1154657591,1,54.583333333333336,47576.7
1306478557,1,54.47715736040609,456623.29
1841404522,1,54.44827586206897,5571.799999999999
1750574323,1,54.395348837209305,244695.73000000004
1902192842,2,54.336633663366335,1582964.3300000003
1508960378,1,54.33224755700326,85844.54
1679743496,1,54.14764183185236,7794055.190000001
1104093830,1,54.0,49054.88
1396181954,1,53.976863753213365,569066.6399999999
1306272653,1,53.96341463414634,35279.869999999995
1457021313,1,53.93726937269373,1436927.4
1700803392,1,53.88780236747298,5676377.69
1336475532,1,53.88506493506493,5304031.229999999
1043420847,1,53.87012987012987,690981.9600000002
1063858439,1,53.80327868852459,461064.51999999996
1609494897,1,53.73094170403587,1409078.1199999999
1104467984,1,53.666666666666664,4497.45
1700319415,1,53.63380281690141,56529.8
1356408082,1,53.56,244276.25
1457577892,1,53.51095804633688,11694404.679999998
1376612044,1,53.362369337979096,3071024.2600000002
1144653262,1,53.25,13372.630000000001
1538375860,2,53.19230769230769,42238.23
1982145835,1,53.12,103523.27
1326621517,1,53.108108108108105,73200.65000000001
1265483457,1,53.101694915254235,1203466.88
1053531459,1,53.083333333333336,224839.34999999998
1972668853,1,53.03030303030303,0.0
1568824423,1,53.011088709677416,457402.81000000006
1215378161,1,53.0,4752.05
1962920397,1,52.9375,1407074.7
1093938672,1,52.868852459016395,105455.27
1093135584,1,52.795662100456624,9280745.51
1912688375,1,52.75,1190073.87
1023875507,1,52.708333333333336,267724.0
1104910868,1,52.68,125870.0
1851364806,1,52.68,0.0
