BILLING_PROVIDER_NPI_NUM,n_codes,avg_z_score,max_z_score,high_z_count,total_paid,total_claims,upcode_ratio,flag_upcoding
1396318309,4,14.653108596046348,37.127590490632,4.0,209664.0,51.0,1.0,True
1013661883,6,14.562863472614922,66.48459726742004,2.0,1196790.41,371.0,0.3333333333333333,True
1700521200,8,14.517574535080886,26.429970655556765,7.0,2210937.28,2672.0,0.875,True
1962083543,6,14.51149934592734,46.03017421986466,2.0,1310720.92,1062.0,0.3333333333333333,True
1245654433,8,14.490382220958507,15.297345772960218,8.0,76426.2,179.0,1.0,True
1548381320,70,14.405075617137722,21.921356661556057,66.0,1117208.0,1504.0,0.9428571428571428,True
1588017784,11,14.135265804787121,36.570782899873294,9.0,159808.79,427.0,0.8181818181818182,True
1811171614,34,14.084914096664983,17.33368760642771,34.0,2305097.93,1285.0,1.0,True
1033115415,21,13.785677258634156,22.72619977145911,16.0,556888.79,385.0,0.7619047619047619,True
1932228814,62,13.689019819333506,21.921356661556057,59.0,974486.0,1349.0,0.9516129032258065,True
1538378625,4001,13.675045257745811,28.77917310747648,3928.0,66275557.74,97276.0,0.9817545613596601,True
1043982671,10,13.656333955402388,19.024794407052124,10.0,129715.02,194.0,1.0,True
1164490728,45,13.62364818825259,27.889124575593073,44.0,1239802.6400000004,1244.0,0.9777777777777777,True
1497875579,53,13.53725134125004,21.921356661556057,51.0,753999.0,1038.0,0.9622641509433962,True
1306965207,28,13.532582842113783,21.921356661556057,26.0,366090.0,521.0,0.9285714285714286,True
1720603095,132,13.491195238071347,26.097104119656997,119.0,2597020.4399999995,4499.0,0.9015151515151515,True
1881311587,4,13.386992975339783,16.423822520940664,4.0,477904.0,419.0,1.0,True
1427336791,89,13.38327512795396,327.5801151606826,18.0,1978402.2700000003,3706.0,0.20224719101123595,True
1144341249,36,13.2374967758124,19.440196846664513,33.0,393563.0,553.0,0.9166666666666666,True
1871704395,139,13.203162982540674,24.66422497477345,137.0,2021840.7000000002,2744.0,0.9856115107913669,True
1538769708,3,13.124592231091702,14.558139894532781,3.0,248004.46999999997,48.0,1.0,True
1164503421,68,13.082578187296015,51.54643111098964,66.0,2686302.0,6380.0,0.9705882352941176,True
1427160019,4,13.047220540402988,14.649723250831109,4.0,158159.34,82.0,1.0,True
1205446135,12,13.045168873551292,25.634180244842653,12.0,1033287.29,377.0,1.0,True
1003469719,39,13.010958867613624,16.69386109787264,38.0,1603045.2100000002,1974.0,0.9743589743589743,True
1902004427,54,12.974039988845519,44.1637773329008,42.0,91741.68999999999,1257.0,0.7777777777777778,True
1962083592,5,12.78550919052941,16.722352276017208,5.0,175560.0,67.0,1.0,True
1710358320,3,12.784000153788611,14.918716493852296,3.0,308406.02,60.0,1.0,True
1548882467,10,12.764557520465402,32.37622412606155,6.0,3783668.26,2509.0,0.6,True
1932589140,36,12.75367684044677,35.30955770229079,32.0,16107994.600000001,1330.0,0.8888888888888888,True
1508224726,9,12.571753997191422,17.786677925547423,9.0,372427.33,170.0,1.0,True
1790443216,37,12.566361083348777,53.46791983899419,26.0,20018033.66,6207.0,0.7027027027027027,True
1861568107,21,12.551470544650602,16.332051766974487,21.0,15815993.829999996,533.0,1.0,True
1083837157,25,12.542611961228486,37.83148051107031,25.0,1683736.96,3104.0,1.0,True
1023788031,26,12.483698425181583,24.24362010524401,26.0,55804801.299999975,25148.0,1.0,True
1659828556,3,12.479911654799231,21.56986982891843,2.0,14398.0,44.0,0.6666666666666666,True
1265669444,79,12.40209673960503,20.532441979137282,79.0,5616419.489999999,3567.0,1.0,True
1033725684,60,12.350562196605091,17.942667027965154,53.0,2162232.79,2352.0,0.8833333333333333,True
