BILLING_PROVIDER_NPI_NUM,total_paid,total_claims,risk_upcoding,risk_velocity,risk_phantom,risk_cost_outlier,risk_relationship,risk_temporal,fraud_score,risk_tier
1801831227,198851.67,3126.0,0,1,0,1,1,1,4,High
1164428629,350188.23,13001.0,0,1,0,1,1,1,4,High
1679525919,82840636.46000007,1609384.0,0,1,1,1,1,0,4,High
1487347407,213068.83000000002,98.0,1,1,0,1,1,0,4,High
1639309842,54849.84000000002,8680.0,0,1,1,1,1,0,4,High
1275970980,28583.48,3541.0,0,1,0,1,1,1,4,High
1700803467,4806.78,1890.0,0,1,0,1,1,1,4,High
1912191917,1288.61,2229.0,0,1,0,1,1,1,4,High
1609317692,35573.02,3333.0,0,1,0,1,1,1,4,High
1205056033,46178.29000000001,1012.0,0,1,0,1,1,1,4,High
1104960558,182511.43,1092.0,1,1,0,1,1,0,4,High
1992796759,366765.91000000027,31503.0,0,1,0,1,1,1,4,High
1609446640,9566.380000000001,154.0,1,1,0,1,0,1,4,High
1407001829,360366.4900000001,96130.0,0,1,0,1,1,1,4,High
1952451031,381233.79,29711.0,0,1,0,1,1,1,4,High
1700952637,59065.24,9932.0,0,1,0,1,1,1,4,High
1710549779,19656.43,439.0,0,1,0,1,1,1,4,High
1215268206,532555.8599999999,870.0,1,1,0,1,1,0,4,High
1245419365,313888.97000000003,10339.0,0,1,0,1,1,1,4,High
1396518189,143659.79999999996,1366.0,0,1,0,1,1,1,4,High
1003162496,1062248.13,10205.0,1,1,0,1,1,0,4,High
1720041049,236003.81,10861.0,0,1,1,1,1,0,4,High
1770554305,949812.4800000004,5720.0,1,1,0,1,1,0,4,High
1992767149,190551.19999999998,7181.0,0,1,0,1,1,1,4,High
1649285172,637895.9799999999,4537.0,1,1,0,1,1,0,4,High
1639177520,3173.65,2327.0,0,1,0,1,1,1,4,High
1710498001,1519672.4899999993,19245.0,0,1,0,1,1,1,4,High
1851309595,2467024.1600000006,11783.0,0,1,1,1,0,1,4,High
1891710638,12858818.770000001,183120.0,0,1,1,1,1,0,4,High
1073993580,177471.03,12234.0,0,1,1,0,1,1,4,High
1720217698,569722.4000000001,7169.0,0,1,0,1,1,1,4,High
1689769911,15088576.949999988,236789.0,0,1,0,1,1,1,4,High
1396327391,356733.58999999997,20799.0,0,1,0,1,1,1,4,High
1043870645,144716.16999999998,648.0,1,1,0,1,1,0,4,High
1093782658,771699.49,5868.0,1,1,0,1,1,0,4,High
1316422595,29070.6,461.0,0,1,0,1,1,1,4,High
1326007832,82561.36999999998,2874.0,0,1,1,1,1,0,4,High
1225274772,27412.620000000003,2824.0,0,1,0,1,1,1,4,High
1235644931,96991.69999999998,9644.0,0,1,0,1,1,1,4,High
1780711291,9073978.649999997,6976.0,1,1,0,1,1,0,4,High
1255339750,2551736.3999999994,59072.0,0,1,0,1,1,1,4,High
1619975331,4814420.089999998,80120.0,0,1,1,1,1,0,4,High
1013953280,5953.87,4087.0,0,1,0,1,1,1,4,High
1689748790,344000.95999999996,10838.0,0,1,1,1,0,1,4,High
1184860371,20525.46,2711.0,0,1,0,1,1,1,4,High
1326229287,640107.87,8007.0,0,1,0,1,1,1,4,High
1821117268,29216.56,199.0,1,1,0,1,1,0,4,High
1255443057,395311.3699999998,17887.0,0,1,0,1,1,1,4,High
1205044013,29002.06,143788.0,0,1,0,1,1,1,4,High
1740647825,29894.48,108.0,1,1,0,1,1,0,4,High
1548861701,734128.21,840.0,1,1,0,1,0,1,4,High
1679534069,2625588.3600000013,47291.0,0,1,0,1,1,1,4,High
1780780486,2800628.5899999994,40180.0,0,1,0,1,1,1,4,High
1760017636,243596.11000000002,3550.0,0,1,0,1,1,1,4,High
1407108335,336861.98000000004,3731.0,1,1,0,1,1,0,4,High
1821292947,6002.1900000000005,2251.0,0,1,0,1,1,1,4,High
1619036381,217776.88999999998,123.0,1,1,0,1,0,1,4,High
1689722431,226633.77000000002,25193.0,0,1,0,1,1,1,4,High
1811933278,195400.77999999997,2627.0,0,1,1,1,1,0,4,High
1659447654,20549.41,1617.0,0,1,0,1,1,1,4,High
1811204563,86013.40999999999,37626.0,0,1,0,1,1,1,4,High
1134142631,553715.6400000002,7139.0,0,1,0,1,1,1,4,High
1730190331,1429925.6599999997,17260.0,0,1,1,1,1,0,4,High
1568633659,338.61,776.0,0,1,0,1,1,1,4,High
1568017770,10707.18,256.0,1,1,0,1,1,0,4,High
