BILLING_PROVIDER_NPI_NUM,HCPCS_CODE,CLAIM_FROM_MONTH,TOTAL_PAID,TOTAL_CLAIMS,TOTAL_UNIQUE_BENEFICIARIES,cost_per_bene,avg_cpb,std_cpb,z_score
1093345886,1159F,2023-05,1295.49,26,14,92.535,0.11494054961927692,1.9842264617849479,46.57737472528339
1285641514,36416,2021-03,15023.6,66,14,1073.1142857142856,2.6842804613405558,23.06013554407819,46.41906823170561
1700886322,1126F,2024-02,1992.71,68,17,117.21823529411765,0.12074950068204841,2.5275217898111544,46.328971827453415
1366515488,83036,2018-04,8269.09,21,19,435.21526315789475,6.234724689727438,9.382233318186282,45.72264661513398
1588659528,J1885,2020-02,27544.95,71,41,671.8280487804878,2.7300812900261757,15.046012409080117,44.470119344489426
1588659528,J1100,2022-01,74281.06,88,34,2184.7370588235294,4.360215666267232,49.34122421062274,44.18975974025074
1669508537,T1015,2022-02,180627.3,325,20,9031.365,211.25273311602157,201.9509684607974,43.6745232474393
1710105200,96372,2022-02,29672.63,46,13,2282.51,18.4798245575949,52.33644373055019,43.259152018401856
1518239219,1159F,2023-10,5393.55,88,63,85.61190476190477,0.11494054961927692,1.9842264617849479,43.08830965563029
1225255375,99233,2023-08,1407046.95,1253,282,4989.528191489361,115.25161189925247,113.78794917723539,42.83649204361673
1699129601,99213,2018-09,54242.98,57,23,2358.3904347826087,50.30623114884409,54.256440587309854,42.540280539037184
1356406136,3074F,2021-04,1334.71,50,12,111.22583333333334,0.2786769239714066,2.6383499327885356,42.051721430333245
1376885228,J7030,2019-06,31495.48,126,12,2624.6233333333334,9.000817210641838,62.27635969637238,42.00024742735649
1447261540,99231,2023-12,595105.82,704,148,4020.98527027027,47.79060555200659,95.24712548270567,41.714588703673684
1760590962,36415,2020-12,22898.76,22,14,1635.6257142857141,5.868861196004876,40.01839308735936,40.72519477561187
1366515488,80048,2020-01,17955.26,14,14,1282.5185714285712,10.811951879837736,31.62681714729883,40.209756600731694
1891775128,3008F,2024-08,2558.57,16,15,170.57133333333334,0.42738295975199997,4.279681254655887,39.75622020646535
1760590962,80053,2019-02,30360.15,20,14,2168.582142857143,14.346578466879235,54.45365227484871,39.56090132424913
1467486449,3008F,2021-05,2707.8,41,16,169.2375,0.42738295975199997,4.279681254655887,39.4445536934786
1114473212,96372,2021-08,74623.3,45,36,2072.8694444444445,18.4798245575949,52.33644373055019,39.25351960220498
1275570376,J2405,2018-06,58865.41,91,61,965.0067213114754,3.6449432707668614,24.618593635477804,39.05023139320567
1548208127,3074F,2023-10,1334.45,49,13,102.65,0.2786769239714066,2.6383499327885356,38.801268097075315
1821201278,92340,2024-08,45524.56,48,45,1011.6568888888888,23.339651209759,25.702421657705255,38.45230036457849
1215936927,J2250,2018-07,123348.12,31,22,5606.732727272727,7.816380280019756,146.59830644813624,38.19223074704141
1699703827,99232,2024-02,246854.72,249,68,3630.216470588235,81.19720554835112,93.33721981967422,38.02362307230196
1326502865,T1015,2023-01,4612210.13,9110,585,7884.11988034188,211.25273311602157,201.9509684607974,37.99371305671807
1598873382,85025,2020-09,27020.78,15,12,2251.7316666666666,9.50089125198956,59.44260862594832,37.72093498662308
1316995210,92015,2021-06,14503.6,32,31,467.85806451612905,11.62575043736845,12.137412693419181,37.58892653671787
1740246792,D0150,2021-01,12619.2,13,12,1051.6000000000001,39.65225914001669,26.99474462700652,37.4868425259187
