CLAIM_FROM_MONTH,year,month_num,total_paid,total_claims,paid_pct_change
2022-11-01,2022,11,146675505.53999963,2506567.0,0.09861989827146811
2022-12-01,2022,12,154461631.66000056,2479363.0,5.308402443431559
2023-01-01,2023,1,150947834.0900001,2804758.0,-2.2748675721197875
2023-02-01,2023,2,145893727.00000006,2601341.0,-3.348247505814894
2023-03-01,2023,3,147812261.48000014,2662871.0,1.3150219131766283
2023-04-01,2023,4,165206976.31999972,2693202.0,11.768113596146556
2023-05-01,2023,5,156566647.22000006,2708890.0,-5.230002565547642
2023-06-01,2023,6,169246717.33000025,2722204.0,8.098832245020082
2023-07-01,2023,7,147440810.0300002,2291800.0,-12.884094677879332
2023-08-01,2023,8,160633689.56000036,2794991.0,8.947915795712035
2023-09-01,2023,9,158443324.46999985,2394065.0,-1.3635776504917763
2023-10-01,2023,10,146277698.98999974,2643169.0,-7.678219022918564
2023-11-01,2023,11,173559451.80999997,2507481.0,18.650657624758882
2023-12-01,2023,12,269568686.7100004,3521340.0,55.31777952669741
2024-01-01,2024,1,155422415.27000004,2590800.0,-42.34403959640828
2024-02-01,2024,2,184916592.8400005,2847626.0,18.976784988679498
2024-03-01,2024,3,252653423.84999943,3160704.0,36.63101832543949
2024-04-01,2024,4,206373145.30000022,2976908.0,-18.3176930060033
2024-05-01,2024,5,191522544.75999993,3542034.0,-7.195994671890227
2024-06-01,2024,6,140241903.04999986,2164617.0,-26.775250806248785
2024-07-01,2024,7,217992109.97000057,2992669.0,55.44006835979738
2024-08-01,2024,8,176879958.3899994,2390554.0,-18.85946770534902
2024-09-01,2024,9,158129306.63999996,2169287.0,-10.600778019551804
2024-10-01,2024,10,150682153.35000005,2110812.0,-4.709533892382279
2024-11-01,2024,11,138683902.4800001,1795528.0,-7.962622383110474
2024-12-01,2024,12,49145454.78999996,645154.0,-64.56297096406894
