HCPCS_CODE,first_seen,last_seen,months_active,total_paid,provider_count,first_dt,last_dt,first_quarter,last_quarter
0518F,2018-01,2024-12,84,2208.69,311,2018-01-01,2024-12-01,2018Q1,2024Q4
77086,2019-07,2023-12,6,4112.8,4,2019-07-01,2023-12-01,2019Q3,2023Q4
86940,2019-12,2023-01,2,77.71000000000001,2,2019-12-01,2023-01-01,2019Q4,2023Q1
J9271,2018-02,2024-11,77,117339759.02999996,205,2018-02-01,2024-11-01,2018Q1,2024Q4
3028F,2018-01,2024-12,84,416.03,134,2018-01-01,2024-12-01,2018Q1,2024Q4
4035F,2018-01,2024-12,81,1.04,125,2018-01-01,2024-12-01,2018Q1,2024Q4
888888,2020-05,2024-02,11,0.0,32,2020-05-01,2024-02-01,2020Q2,2024Q1
81233,2021-12,2024-06,5,1663.77,3,2021-12-01,2024-06-01,2021Q4,2024Q2
G9010,2018-01,2024-11,80,1447651.02,63,2018-01-01,2024-11-01,2018Q1,2024Q4
Z6300,2018-02,2024-10,62,512.03,102,2018-02-01,2024-10-01,2018Q1,2024Q4
G8985,2018-01,2024-06,39,1222.73,113,2018-01-01,2024-06-01,2018Q1,2024Q2
G8806,2018-06,2024-04,12,0.0,3,2018-06-01,2024-04-01,2018Q2,2024Q2
2026F,2018-01,2024-12,80,4437.820000000001,122,2018-01-01,2024-12-01,2018Q1,2024Q4
4005F,2018-02,2024-10,25,35.1,12,2018-02-01,2024-10-01,2018Q1,2024Q4
D4921,2018-04,2024-11,55,11810.720000000001,60,2018-04-01,2024-11-01,2018Q2,2024Q4
G9458,2018-07,2024-11,31,151.95,14,2018-07-01,2024-11-01,2018Q3,2024Q4
4145F,2018-01,2024-11,50,1.15,33,2018-01-01,2024-11-01,2018Q1,2024Q4
G9818,2019-02,2024-12,46,2.05,10,2019-02-01,2024-12-01,2019Q1,2024Q4
D0391,2018-02,2024-12,16,10437.650000000001,6,2018-02-01,2024-12-01,2018Q1,2024Q4
2018F,2023-05,2024-05,11,0.0,4,2023-05-01,2024-05-01,2023Q2,2024Q2
59510,2018-02,2024-08,56,3705612.64,51,2018-02-01,2024-08-01,2018Q1,2024Q3
Z6200,2019-10,2024-11,61,0.0,105,2019-10-01,2024-11-01,2019Q4,2024Q4
G9665,2018-01,2024-11,53,0.14,18,2018-01-01,2024-11-01,2018Q1,2024Q4
G9368,2018-02,2024-11,32,0.82,30,2018-02-01,2024-11-01,2018Q1,2024Q4
UHLC1,2022-02,2022-02,1,0.0,1,2022-02-01,2022-02-01,2022Q1,2022Q1
J7332,2021-05,2024-10,11,26483.410000000003,4,2021-05-01,2024-10-01,2021Q2,2024Q4
0270R,2018-03,2023-01,22,0.0,8,2018-03-01,2023-01-01,2018Q1,2023Q1
S4991,2018-05,2023-06,14,2242.0,5,2018-05-01,2023-06-01,2018Q2,2023Q2
G0029,2022-04,2024-11,26,0.0,20,2022-04-01,2024-11-01,2022Q2,2024Q4
X3904,2019-08,2024-12,33,0.0,10,2019-08-01,2024-12-01,2019Q3,2024Q4
1026F,2018-03,2024-08,30,0.0,11,2018-03-01,2024-08-01,2018Q1,2024Q3
30086,2019-05,2024-11,19,0.0,7,2019-05-01,2024-11-01,2019Q2,2024Q4
S5010,2018-03,2024-08,17,10399.86,7,2018-03-01,2024-08-01,2018Q1,2024Q3
99503,2018-01,2023-09,16,187793.86,7,2018-01-01,2023-09-01,2018Q1,2023Q3
11421,2018-01,2024-08,26,35649.71,9,2018-01-01,2024-08-01,2018Q1,2024Q3
M1016,2021-11,2024-08,21,116.58,11,2021-11-01,2024-08-01,2021Q4,2024Q3
G8842,2018-02,2024-08,14,0.0,8,2018-02-01,2024-08-01,2018Q1,2024Q3
HH270,2024-03,2024-10,5,0.0,8,2024-03-01,2024-10-01,2024Q1,2024Q4
J7638,2018-04,2022-10,11,175.53,4,2018-04-01,2022-10-01,2018Q2,2022Q4
G9807,2019-10,2021-12,16,0.0,1,2019-10-01,2021-12-01,2019Q4,2021Q4
0424,2018-02,2024-06,29,7936.2,17,2018-02-01,2024-06-01,2018Q1,2024Q2
G9318,2018-01,2022-03,32,10559.260000000002,14,2018-01-01,2022-03-01,2018Q1,2022Q1
21048,2020-01,2020-01,1,10418.33,1,2020-01-01,2020-01-01,2020Q1,2020Q1
D2710,2018-01,2024-09,14,104528.74999999999,5,2018-01-01,2024-09-01,2018Q1,2024Q3
E0760,2018-07,2024-11,16,3744551.2399999998,2,2018-07-01,2024-11-01,2018Q3,2024Q4
29876,2018-02,2023-07,11,109590.57,7,2018-02-01,2023-07-01,2018Q1,2023Q3
S5141,2018-11,2021-05,14,779703.8200000001,3,2018-11-01,2021-05-01,2018Q4,2021Q2
81541,2019-02,2022-01,4,48039.04,1,2019-02-01,2022-01-01,2019Q1,2022Q1
W0510,2018-05,2020-11,17,638015.19,7,2018-05-01,2020-11-01,2018Q2,2020Q4
81364,2018-04,2024-11,34,113765.49000000002,13,2018-04-01,2024-11-01,2018Q2,2024Q4
G0281,2018-03,2023-03,14,63110.14000000001,6,2018-03-01,2023-03-01,2018Q1,2023Q1
S9363,2018-09,2024-11,24,4092863.67,4,2018-09-01,2024-11-01,2018Q3,2024Q4
92544,2018-04,2024-02,19,26972.98,10,2018-04-01,2024-02-01,2018Q2,2024Q1
59820,2021-05,2022-05,3,39344.33,2,2021-05-01,2022-05-01,2021Q2,2022Q2
D2753,2024-02,2024-07,2,17000.0,2,2024-02-01,2024-07-01,2024Q1,2024Q3
J7699,2018-03,2024-10,19,10896.899999999998,12,2018-03-01,2024-10-01,2018Q1,2024Q4
47100,2019-10,2024-03,11,53659.259999999995,6,2019-10-01,2024-03-01,2019Q4,2024Q1
76080,2018-01,2024-09,14,7055.699999999999,2,2018-01-01,2024-09-01,2018Q1,2024Q3
S4005,2018-01,2024-05,26,42701.14,10,2018-01-01,2024-05-01,2018Q1,2024Q2
15786,2020-09,2021-05,3,9945.48,1,2020-09-01,2021-05-01,2020Q3,2021Q2
D1203,2018-01,2024-11,41,55931.0,16,2018-01-01,2024-11-01,2018Q1,2024Q4
52352,2018-06,2022-03,6,23530.66,5,2018-06-01,2022-03-01,2018Q2,2022Q1
82615,2018-07,2024-10,13,24256.75,4,2018-07-01,2024-10-01,2018Q3,2024Q4
A4690,2019-02,2023-09,18,2960.15,3,2019-02-01,2023-09-01,2019Q1,2023Q3
64625,2022-11,2024-04,4,23969.62,2,2022-11-01,2024-04-01,2022Q4,2024Q2
G0427,2018-07,2024-11,31,52283.01,20,2018-07-01,2024-11-01,2018Q3,2024Q4
81269,2021-11,2022-04,2,1903.63,1,2021-11-01,2022-04-01,2021Q4,2022Q2
77089,2023-05,2024-11,13,8761.939999999999,8,2023-05-01,2024-11-01,2023Q2,2024Q4
J9155,2022-12,2023-08,4,6660.24,2,2022-12-01,2023-08-01,2022Q4,2023Q3
44377,2018-05,2024-10,11,35422.23,6,2018-05-01,2024-10-01,2018Q2,2024Q4
81208,2019-03,2024-05,9,24416.570000000003,2,2019-03-01,2024-05-01,2019Q1,2024Q2
1322Z,2018-04,2020-06,3,3151.6000000000004,1,2018-04-01,2020-06-01,2018Q2,2020Q2
L1290,2018-04,2024-08,5,4060.36,5,2018-04-01,2024-08-01,2018Q2,2024Q3
93319,2022-11,2024-12,7,1888.12,5,2022-11-01,2024-12-01,2022Q4,2024Q4
86363,2023-08,2024-06,5,1454.74,3,2023-08-01,2024-06-01,2023Q3,2024Q2
L0628,2018-04,2024-10,21,33086.91,9,2018-04-01,2024-10-01,2018Q2,2024Q4
69990,2018-02,2024-02,20,5850.720000000001,14,2018-02-01,2024-02-01,2018Q1,2024Q1
K0043,2019-05,2023-08,4,877.12,4,2019-05-01,2023-08-01,2019Q2,2023Q3
X0592,2019-07,2024-01,15,28809.780000000002,9,2019-07-01,2024-01-01,2019Q3,2024Q1
E0605,2019-01,2023-11,5,1486.36,4,2019-01-01,2023-11-01,2019Q1,2023Q4
73725,2020-09,2024-09,6,2322.55,1,2020-09-01,2024-09-01,2020Q3,2024Q3
J1980,2018-07,2024-08,14,2540.8,6,2018-07-01,2024-08-01,2018Q3,2024Q3
E0235,2018-07,2022-08,7,634.3900000000001,2,2018-07-01,2022-08-01,2018Q3,2022Q3
Q0181,2023-02,2024-11,2,541.48,2,2023-02-01,2024-11-01,2023Q1,2024Q4
G0473,2018-02,2024-08,16,2095.0199999999995,10,2018-02-01,2024-08-01,2018Q1,2024Q3
0641T,2023-09,2023-09,1,15.9,1,2023-09-01,2023-09-01,2023Q3,2023Q3
98981,2023-04,2024-10,10,27400.350000000002,9,2023-04-01,2024-10-01,2023Q2,2024Q4
G9925,2023-12,2023-12,1,14.21,1,2023-12-01,2023-12-01,2023Q4,2023Q4
0764T,2023-07,2023-09,3,6623.32,8,2023-07-01,2023-09-01,2023Q3,2023Q3
A9273,2019-05,2024-03,8,221.13,4,2019-05-01,2024-03-01,2019Q2,2024Q1
Q0243,2021-08,2022-01,6,2750.2,18,2021-08-01,2022-01-01,2021Q3,2022Q1
W7201,2019-12,2024-06,12,695704.66,3,2019-12-01,2024-06-01,2019Q4,2024Q2
88147,2018-01,2024-03,24,24.78,11,2018-01-01,2024-03-01,2018Q1,2024Q1
3476F,2018-01,2023-03,5,305.0,3,2018-01-01,2023-03-01,2018Q1,2023Q1
01960,2018-08,2022-12,20,34886.52999999999,10,2018-08-01,2022-12-01,2018Q3,2022Q4
G9968,2018-09,2024-01,9,0.0,7,2018-09-01,2024-01-01,2018Q3,2024Q1
G9549,2022-01,2024-10,7,0.0,1,2022-01-01,2024-10-01,2022Q1,2024Q4
A6025,2018-08,2024-04,6,3716.51,2,2018-08-01,2024-04-01,2018Q3,2024Q2
1018F,2018-02,2022-04,12,0.0,7,2018-02-01,2022-04-01,2018Q1,2022Q2
G9534,2018-02,2018-11,3,6488.200000000001,2,2018-02-01,2018-11-01,2018Q1,2018Q4
81192,2021-10,2024-10,7,2448.77,6,2021-10-01,2024-10-01,2021Q4,2024Q4
L8509,2018-11,2024-03,8,15117.91,2,2018-11-01,2024-03-01,2018Q4,2024Q1
90611,2022-07,2024-05,8,504.27,33,2022-07-01,2024-05-01,2022Q3,2024Q2
0311,2019-06,2024-04,15,428.25,3,2019-06-01,2024-04-01,2019Q2,2024Q2
J9145,2019-01,2023-10,8,164158.28,5,2019-01-01,2023-10-01,2019Q1,2023Q4
0760T,2023-03,2024-08,5,99.0,4,2023-03-01,2024-08-01,2023Q1,2024Q3
Q3104,2020-09,2020-09,1,0.0,1,2020-09-01,2020-09-01,2020Q3,2020Q3
D5992,2018-02,2024-10,8,0.0,1,2018-02-01,2024-10-01,2018Q1,2024Q4
D5986,2023-05,2023-05,1,0.0,1,2023-05-01,2023-05-01,2023Q2,2023Q2
3HC11,2021-02,2021-12,5,0.0,5,2021-02-01,2021-12-01,2021Q1,2021Q4
J1096,2022-06,2024-09,10,53401.2,9,2022-06-01,2024-09-01,2022Q2,2024Q3
OP720,2019-03,2024-07,7,18219.97,4,2019-03-01,2024-07-01,2019Q1,2024Q3
94015,2018-05,2018-11,2,10945.94,1,2018-05-01,2018-11-01,2018Q2,2018Q4
E0855,2018-06,2021-10,9,161525.11,6,2018-06-01,2021-10-01,2018Q2,2021Q4
E2342,2021-06,2023-01,3,16601.82,1,2021-06-01,2023-01-01,2021Q2,2023Q1
W0550,2018-07,2020-08,5,94572.77,2,2018-07-01,2020-08-01,2018Q3,2020Q3
31233,2018-01,2024-11,17,81700.63,11,2018-01-01,2024-11-01,2018Q1,2024Q4
L5645,2019-08,2024-10,10,62783.72000000001,11,2019-08-01,2024-10-01,2019Q3,2024Q4
00402,2018-02,2023-11,10,29229.73,9,2018-02-01,2023-11-01,2018Q1,2023Q4
92633,2018-08,2023-07,14,149399.3,4,2018-08-01,2023-07-01,2018Q3,2023Q3
40800,2018-10,2020-04,3,5600.24,3,2018-10-01,2020-04-01,2018Q4,2020Q2
90759,2023-10,2023-10,1,1328.76,1,2023-10-01,2023-10-01,2023Q4,2023Q4
62304,2019-09,2021-06,2,2654.65,1,2019-09-01,2021-06-01,2019Q3,2021Q2
81228,2018-02,2022-10,6,4355.95,3,2018-02-01,2022-10-01,2018Q1,2022Q4
L8618,2018-09,2023-08,8,6866.06,2,2018-09-01,2023-08-01,2018Q3,2023Q3
94772,2019-05,2024-06,6,5624.33,2,2019-05-01,2024-06-01,2019Q2,2024Q2
L2265,2022-09,2022-09,1,625.32,1,2022-09-01,2022-09-01,2022Q3,2022Q3
92240,2019-02,2022-07,6,5173.91,2,2019-02-01,2022-07-01,2019Q1,2022Q3
0088U,2024-05,2024-05,1,619.25,1,2024-05-01,2024-05-01,2024Q2,2024Q2
70545,2018-05,2023-06,21,8671.2,3,2018-05-01,2023-06-01,2018Q2,2023Q2
J2598,2023-08,2024-08,8,1087.63,6,2023-08-01,2024-08-01,2023Q3,2024Q3
Z6408,2018-04,2021-04,4,892.49,3,2018-04-01,2021-04-01,2018Q2,2021Q2
A4637,2019-02,2024-01,2,109.65,2,2019-02-01,2024-01-01,2019Q1,2024Q1
84379,2021-04,2022-10,3,248.36,2,2021-04-01,2022-10-01,2021Q2,2022Q4
0274,2018-01,2018-07,4,425.77,2,2018-01-01,2018-07-01,2018Q1,2018Q3
T2012,2018-04,2024-12,59,89054340.26999992,107,2018-04-01,2024-12-01,2018Q2,2024Q4
X6987,2018-01,2020-03,21,1144128.36,11,2018-01-01,2020-03-01,2018Q1,2020Q1
J9354,2022-10,2024-06,4,467446.93,2,2022-10-01,2024-06-01,2022Q4,2024Q2
M0122,2021-02,2022-04,15,8189847.200000001,90,2021-02-01,2022-04-01,2021Q1,2022Q2
B4197,2018-01,2024-11,34,2396965.8499999996,12,2018-01-01,2024-11-01,2018Q1,2024Q4
S9351,2018-01,2024-10,20,7393279.260000001,8,2018-01-01,2024-10-01,2018Q1,2024Q4
1437Z,2018-04,2021-09,4,159720.00999999998,2,2018-04-01,2021-09-01,2018Q2,2021Q3
K0606,2018-01,2024-08,28,69739959.88,4,2018-01-01,2024-08-01,2018Q1,2024Q3
HZ2ZZZZ,2020-01,2021-11,2,113442.20999999999,2,2020-01-01,2021-11-01,2020Q1,2021Q4
95801,2019-07,2024-10,23,228839.69,4,2019-07-01,2024-10-01,2019Q3,2024Q4
58152,2018-08,2018-08,1,3730.68,1,2018-08-01,2018-08-01,2018Q3,2018Q3
15100,2020-09,2021-09,3,19879.98,1,2020-09-01,2021-09-01,2020Q3,2021Q3
E1092,2019-07,2024-03,7,9369.420000000002,2,2019-07-01,2024-03-01,2019Q3,2024Q1
V2221,2018-08,2020-03,3,988.16,2,2018-08-01,2020-03-01,2018Q3,2020Q1
90021,2018-09,2019-02,3,303.45,2,2018-09-01,2019-02-01,2018Q3,2019Q1
86668,2019-08,2023-05,5,1167.52,4,2019-08-01,2023-05-01,2019Q3,2023Q2
G8415,2018-01,2024-08,21,213.88,9,2018-01-01,2024-08-01,2018Q1,2024Q3
G0322,2023-08,2024-02,4,0.0,2,2023-08-01,2024-02-01,2023Q3,2024Q1
3IA21,2022-03,2024-11,4,0.0,2,2022-03-01,2024-11-01,2022Q1,2024Q4
31296,2021-07,2023-03,2,46982.22,2,2021-07-01,2023-03-01,2021Q3,2023Q1
L8615,2020-01,2023-09,7,120916.15999999999,1,2020-01-01,2023-09-01,2020Q1,2023Q3
S9325,2023-03,2024-05,3,68730.6,1,2023-03-01,2024-05-01,2023Q1,2024Q2
49585,2018-07,2018-07,1,24553.36,1,2018-07-01,2018-07-01,2018Q3,2018Q3
J0587,2023-05,2023-05,1,23869.4,1,2023-05-01,2023-05-01,2023Q2,2023Q2
51727,2018-12,2024-10,3,8325.15,3,2018-12-01,2024-10-01,2018Q4,2024Q4
22899,2024-09,2024-09,1,4920.35,1,2024-09-01,2024-09-01,2024Q3,2024Q3
