CLAIM_FROM_MONTH,total_paid,total_claims,providers,paid_3m_avg,paid_6m_avg,paid_12m_avg,cumulative_paid,paid_std_6m,cv_6m
2019-08-01,1031496515.4399989,20557411.0,84041,1022865322.0499996,1066539200.3283333,1065739503.8975,18998804600.760002,118001766.64785625,0.11063987766368971
2019-09-01,1027533756.9600009,20018593.0,83495,1118995822.8000002,1071327155.4783325,1085027387.5966668,20026338357.72,118581455.8307252,0.11068650246038078
2019-10-01,1297957196.0000012,24266222.0,89922,1140240956.6399996,1095155842.7250009,1092825516.1741667,21324295553.72,107028183.68395893,0.0977287245417493
2019-11-01,1095231916.9599972,19747101.0,81875,1167446363.400002,1120157411.6466677,1076148519.2500002,22419527470.68,100348251.47097601,0.089584062407319
2019-12-01,1109149977.2400076,20238208.0,79285,1121319000.4933348,1145469786.1266675,1062681654.0283335,23528677447.92001,92346882.1809341,0.08061922130063261
2020-01-01,1159575107.28,21956388.0,89216,1150698615.6133354,1161239600.0866678,1073531046.5966674,24688252555.20001,74541791.423353,0.06419156857705306
2020-02-01,1183370762.3199987,21742193.0,85256,1155032836.7733335,1085757838.1716673,1088875499.1383343,25871623317.520008,122369166.46356554,0.11270392177838275
2020-03-01,1122152640.7200017,18403526.0,74992,1050196675.8499999,1054036152.5783347,1094944238.8183348,26993775958.24001,142444810.1041862,0.1351422432292709
2020-04-01,845066624.5099996,12765586.0,51522,957373689.5433339,1051906250.4683342,1100839110.3541682,27838842582.750008,141548627.33406413,0.13456391885782906
2020-05-01,904901803.4000003,14323062.0,61859,948779664.1633352,1057593586.6300011,1097220930.2341685,28743744386.15001,147308269.3355852,0.13928627328856996
2020-06-01,1096370564.5800056,18688304.0,75561,1064990497.4100021,1044418691.5100018,1109815053.7433355,29840114950.730015,136982300.85485542,0.1311565007102744
2020-07-01,1193699124.2500005,19870199.0,78841,1131463693.4766695,1040438620.6216685,1119544261.955835,31033814074.980015,134598174.67284203,0.12936676129190475
2020-08-01,1104321391.600003,19904588.0,79907,1132097577.0800016,1108684022.2966697,1127805817.8166687,32138135466.580017,118581199.53139392,0.10695671367731058
2020-09-01,1098272215.390001,19994102.0,84301,1152377547.1833372,1165593954.908336,1130003087.409169,33236407681.970016,75236864.85901727,0.06454809116175797
2020-10-01,1254539034.5600073,22166706.0,89097,1199724216.3400023,1187182273.4433358,1157405411.0941694,34490946716.53002,69787670.65658696,0.05878429304219048
2020-11-01,1246361399.069999,21207349.0,85715,1242266969.8066704,1198018049.0033367,1196748330.3858364,35737308115.60002,75791025.10238384,0.06326367550592116
2020-12-01,1225900475.790005,21520989.0,86076,1243658550.8233364,1215587483.3083363,1234456586.0358377,36963208591.39003,60378110.07663405,0.04966990110190121
2021-01-01,1258713777.6100051,22707355.0,89174,1231450750.2766702,1274372201.56667,1253128236.785004,38221922369.00004,88476815.31307246,0.06942776623995883
2021-02-01,1209737997.4300003,21278090.0,87029,1306477433.3266697,1284812638.475003,1266115544.532504,39431660366.43004,89359960.58517285,0.06955096635042278
2021-03-01,1450980524.9400034,26368343.0,97960,1325966726.12667,1303319217.1633391,1299475318.3275034,40882640891.37004,91281548.8133198,0.0700377525407729
2021-04-01,1317181656.0100057,24145108.0,95364,1375187684.050008,1319074200.1266718,1321317184.0975022,42199822547.38004,83031824.01643969,0.06294704574501274
2021-05-01,1357400871.2000155,23692437.0,92100,1331670966.9266737,1334213040.0616717,1329262574.8808358,43557223418.580055,77950640.71083212,0.058424433257846874
2021-06-01,1320430373.57,23960250.0,93779,1342459353.9966738,1383363153.3466704,1335822681.3950033,44877653792.150055,76730660.95893113,0.0554667520045638
2021-07-01,1349546817.2200055,24372165.0,91850,1391538622.643333,1368262166.6283348,1349744204.8350027,46227200609.37006,69319690.25850664,0.0506625791088881
2021-08-01,1504638677.1399932,26490454.0,96065,1404853366.3299954,1373712511.286668,1372229678.634169,47731839286.510056,65690803.5210295,0.04781990626226528
2021-09-01,1360374604.629988,24965889.0,95344,1404965668.5766628,1368326145.6266673,1377221852.6058357,49092213891.140045,68558182.41923013,0.05010368517648385
2021-10-01,1349883723.9600074,25000364.0,96450,1345113668.6100016,1380414209.5433335,1388675307.0000012,50442097615.10005,64710361.94186456,0.0468774962576428
2021-11-01,1325082677.2400093,23842064.0,94586,1355975052.7566714,1410246317.2066667,1398142802.2608335,51767180292.34006,85540308.26391277,0.0606562890611521
2021-12-01,1392958757.0699973,24187797.0,91989,1415526965.8366702,1371080551.8650005,1409851243.4974988,53160139049.41006,87454043.59209777,0.06378475974525287
2022-01-01,1528539463.200004,25749425.0,92683,1397047435.1199994,1409088447.3716676,1426885162.2991655,54688678512.61006,123851625.78078307,0.08789485572165463
2022-02-01,1269644085.0899968,22862490.0,91179,1462201841.986664,1422573093.2349985,1429922797.545832,55958322597.70006,120474843.44939956,0.0846879812519398
2022-03-01,1588421977.6699915,27751800.0,100274,1429619220.6333268,1451376341.3683302,1440812956.6391652,57546744575.37005,112927644.8894513,0.07780727966323693
2022-04-01,1430791599.139992,25364123.0,94930,1505705247.616661,1473356115.0549974,1450327417.5858326,58977536174.51004,112114686.86529273,0.07609476468023327
2022-05-01,1497902166.0400002,25941518.0,95000,1484510388.1233304,1449599277.8849974,1478201989.4341648,60475438340.55004,113179815.009262,0.07807662209544851
2022-06-01,1524837399.1899993,25486690.0,94033,1469579335.136668,1510545361.41333,1502865416.4558306,62000275739.74004,93669989.872566,0.06201070968496067
2022-07-01,1385998440.1800044,23363116.0,89458,1515385475.2099988,1491566387.799997,1512520610.5074975,63386274179.92005,85953661.06889302,0.05762644007798497
2022-08-01,1635320586.2599924,27114439.0,98965,1498622387.4766636,1533830885.6333313,1521986175.9274979,65021594766.180046,109275250.15770236,0.07124334969469709
2022-09-01,1474548135.9899943,25778426.0,96620,1598082436.1299944,1554354491.543331,1542170644.5949984,66496142902.170044,112688340.91439849,0.07249848186336783
2022-10-01,1684378586.1399963,28169392.0,98308,1593323507.876663,1551685105.9599972,1558641823.1558316,68180521488.31004,113712435.09964307,0.07328319042496152
2022-11-01,1621043801.4999986,27597750.0,96327,1604747824.4433308,1594373073.9699984,1570162429.4008324,69801565289.81004,83001858.77935243,0.05205924518825278
2022-12-01,1508821085.6899977,25660166.0,92417,1590663711.810002,1573795927.7766664,1591866804.6591656,71310386375.50005,86067549.99215072,0.054687871834654005
2023-01-01,1642126248.2400098,27541685.0,98145,1554268347.6766698,1625717258.5116665,1596981729.1174986,72952512623.74005,105901769.86449651,0.06514156708986954
2023-02-01,1511857709.1000016,25496721.0,95688,1646686692.580002,1606493973.1683338,1609888142.3549986,74464370332.84006,103566407.68944576,0.06446734903411538
2023-03-01,1786076120.3999949,29722614.0,102037,1622324234.5266647,1629379117.7750003,1611226954.1983318,76250446453.24005,121109535.89457111,0.07432864124339111
2023-04-01,1569038874.0799985,25752147.0,95840,1704489887.873331,1642278352.2749999,1626188271.9041662,77819485327.32005,109241045.42057107,0.06651798415855793
2023-05-01,1758354669.1399999,28404802.0,99627,1637870011.9699976,1625403210.7399988,1632763712.1066666,79577839996.46005,116826318.44161491,0.07187528464917163
2023-06-01,1586216492.6899948,25689157.0,95463,1628482186.9533327,1648657980.6199977,1631367488.0750008,81164056489.15005,102742181.14259899,0.06231867515902938
2023-07-01,1540875399.0300028,24514435.0,91890,1592826073.366665,1626659285.2966661,1648609461.7675016,82704931888.18005,78767784.45598987,0.04842303804365792
2023-08-01,1651386328.3799965,27023584.0,99514,1615448558.6233342,1659033451.0449994,1654508010.1750004,84356318216.56004,89531519.20855263,0.05396607232491793
2023-09-01,1654083948.4600031,26595011.0,94540,1689584715.1366665,1633355858.3750007,1666428119.0483334,86010402165.02005,76492705.84568192,0.04683162303760509
2023-10-01,1763283868.5699997,28030104.0,98660,1673885643.3833363,1654940571.260003,1660791568.966668,87773686033.59006,78769015.55955347,0.04759628045107506
2023-11-01,1604289113.1200063,25600554.0,94301,1694432583.896672,1683612809.6100018,1670641213.5283346,89377975146.71007,57340493.46445053,0.0340580049861542
2023-12-01,1715724770.000009,25258617.0,89414,1677640904.0833378,1684198257.4766686,1660258176.490001,91093699916.71008,56962339.02085766,0.03382163517150342
2024-01-01,1712908829.1299975,26749990.0,95145,1694510871.5700014,1694923852.6366699,1654726002.0350015,92806608745.84009,56211681.055260286,0.03316472357611574
2024-02-01,1654899015.579997,27011035.0,94876,1695415121.3766677,1682248976.01167,1653407348.5475008,94461507761.42009,45212571.576066814,0.026876266367692036
2024-03-01,1718437519.420008,26150360.0,94120,1686857047.9400024,1687160494.6050014,1645028085.745835,96179945280.8401,35636379.71475837,0.021122104167749355
2024-04-01,1687234608.8200018,25831697.0,94719,1679810117.640002,1654511432.8100002,1632807909.4250002,97867179889.66011,73671478.02056669,0.04452763308830331
2024-05-01,1633758224.679996,25185491.0,93220,1613607744.243333,1623201887.4850004,1616034079.1924999,99500938114.3401,83192921.69302127,0.051252356428639276
2024-06-01,1519830399.2300014,22366966.0,86324,1559546727.0299985,1605857914.0150006,1588537809.4400005,101020768513.5701,86061215.17372343,0.05359204847616395
2024-07-01,1525051557.1799974,23376900.0,88405,1531905710.3899996,1570691966.213331,1479819922.0149994,102545820070.75009,72971717.8133036,0.046458324982221626
2024-08-01,1550835174.7600005,24078089.0,89995,1527776188.1833286,1549819182.37333,,104096655245.51009,45833870.691456944,0.02957368911982933
2024-09-01,1507441832.6099882,23114637.0,86861,1540091637.7166622,1489915124.274999,,105604097078.12007,107535233.86088091,0.07217540926246263
2024-10-01,1561997905.7799976,23932708.0,88480,1447924538.1599987,1305128411.2199986,,107166094983.90007,450747749.48053735,0.34536659044851425
2024-11-01,1274333876.0900095,18314642.0,72918,1082480634.2566688,,,108440428859.99008,,
2024-12-01,411110120.8999994,6179992.0,37684,,,,108851538980.89008,,
