CLAIM_FROM_MONTH,total_paid,total_claims,providers,velocity_paid,velocity_claims,accel_paid,accel_claims,velocity_pct,accel_pct
2022-08-01,1635320586.2599938,27114439.0,98965,249322146.0799935,3751323.0,388161105.0899892,5874897.0,17.988631072890236,27.093795930713625
2022-09-01,1474548135.9899979,25778426.0,96620,-160772450.26999593,-1336013.0,-410094596.3499894,-5087336.0,-9.83124970240149,-27.819880775291725
2022-10-01,1684378586.140006,28169392.0,98308,209830450.1500082,2390966.0,370602900.4200041,3726979.0,14.23015261615248,24.06140231855397
2022-11-01,1621043801.499994,27597750.0,96327,-63334784.640012026,-571642.0,-273165234.7900202,-2962608.0,-3.760127631707355,-17.990280247859836
2022-12-01,1508821085.6900003,25660166.0,92417,-112222715.80999374,-1937584.0,-48887931.16998172,-1365942.0,-6.922867581132053,-3.1627399494246977
2023-01-01,1642126248.239994,27541685.0,98145,133305162.54999375,1881519.0,245527878.3599875,3819103.0,8.83505432249656,15.757921903628613
2023-02-01,1511857709.0999954,25496721.0,95688,-130268539.13999867,-2044964.0,-263573701.68999243,-3926483.0,-7.9329186339733955,-16.767972956469954
2023-03-01,1786076120.3999994,29722614.0,102037,274218411.300004,4225893.0,404486950.4400027,6270857.0,18.13784522508044,26.070763859053834
2023-04-01,1569038874.0799897,25752147.0,95840,-217037246.3200097,-3970467.0,-491255657.6200137,-8196360.0,-12.151623541744872,-30.289468766825312
2023-05-01,1758354669.140006,28404802.0,99627,189315795.0600164,2652655.0,406353041.3800261,6623122.0,12.065717311881286,24.21734085362616
2023-06-01,1586216492.6900036,25689157.0,95463,-172138176.45000243,-2715645.0,-361453971.5100188,-5368300.0,-9.78973010798746,-21.855447419868746
2023-07-01,1540875399.0299964,24514435.0,91890,-45341093.66000724,-1174722.0,126797082.7899952,1540923.0,-2.8584429596438587,6.931287148343601
2023-08-01,1651386328.3800004,27023584.0,99514,110510929.35000396,2509149.0,155852023.0100112,3683871.0,7.171957539173657,10.030400498817515
2023-09-01,1654083948.4600003,26595011.0,94540,2697620.0799999237,-428573.0,-107813309.27000403,-2937722.0,0.16335487545462435,-7.008602663719032
2023-10-01,1763283868.5699997,28030104.0,98660,109199920.10999942,1435093.0,106502300.0299995,1863666.0,6.601836636627034,6.43848176117241
2023-11-01,1604289113.1199985,25600554.0,94301,-158994755.45000124,-2429550.0,-268194675.56000066,-3864643.0,-9.016968752679844,-15.618805389306878
2023-12-01,1715724769.9999924,25258617.0,89414,111435656.87999392,-341937.0,270430412.32999516,2087613.0,6.946108152742836,15.96307690542268
2024-01-01,1712908829.1299982,26749990.0,95145,-2815940.8699941635,1491373.0,-114251597.74998808,1833310.0,-0.1641254424504357,-7.110233595193272
2024-02-01,1654899015.5800006,27011035.0,94876,-58009813.54999757,261045.0,-55193872.680003405,-1230328.0,-3.386625870768689,-3.2225004283182535
2024-03-01,1718437519.4199975,26150360.0,94120,63538503.839996815,-860675.0,121548317.38999438,-1121720.0,3.8394187948518566,7.226044665620545
2024-04-01,1687234608.8199964,25831697.0,94719,-31202910.600001097,-318663.0,-94741414.43999791,542012.0,-1.8157721911549407,-5.655190986006797
2024-05-01,1633758224.6799932,25185491.0,93220,-53476384.140003204,-646206.0,-22273473.540002108,-327543.0,-3.1694693707950305,-1.3536971796400898
2024-06-01,1519830399.2300007,22366966.0,86324,-113927825.44999242,-2818525.0,-60451441.309989214,-2172319.0,-6.973358954156616,-3.8038895833615856
2024-07-01,1525051557.18,23376900.0,88405,5221157.949999332,1009934.0,119148983.39999175,3828459.0,0.3435355650633465,7.316894519219963
2024-08-01,1550835174.7599945,24078089.0,89995,25783617.57999444,701189.0,20562459.629995108,-308745.0,1.6906718634267959,1.3471362983634494
2024-09-01,1507441832.6099958,23114637.0,86861,-43393342.149998665,-963452.0,-69176959.7299931,-1664641.0,-2.798062802303547,-4.488734665730343
2024-10-01,1561997905.779996,23932708.0,88480,54556073.17000008,818071.0,97949415.31999874,1781523.0,3.6191163061689346,6.417179108472482
2024-11-01,1274333876.0899987,18314642.0,72918,-287664029.6899972,-5618066.0,-342220102.8599973,-6436137.0,-18.41641583676451,-22.035532142933445
2024-12-01,411110120.9000003,6179992.0,37684,-863223755.1899984,-12134650.0,-575559725.5000012,-6516584.0,-67.73921429748087,-49.322798460716356
