CLAIM_FROM_MONTH,billing_type,total_paid
2024-04-01,Same,1025681301.599998
2024-04-01,Third-Party,661553307.219998
2024-05-01,Same,989020485.0300012
2024-05-01,Third-Party,644737739.6499985
2024-06-01,Third-Party,584059946.8300017
2024-06-01,Same,935770452.3999957
2024-07-01,Third-Party,601532647.4600008
2024-07-01,Same,923518909.7199981
2024-08-01,Same,943011414.8699926
2024-08-01,Third-Party,607823759.8899993
2024-09-01,Same,926908140.9999945
2024-09-01,Third-Party,580533691.61
2024-10-01,Third-Party,606993633.2600001
2024-10-01,Same,955004272.5200001
2024-11-01,Third-Party,463305827.46999955
2024-11-01,Same,811028048.6199981
2024-12-01,Third-Party,160048281.34000024
2024-12-01,Same,251061839.55999994
