BILLING_PROVIDER_NPI_NUM,total_paid,total_claims,risk_upcoding,risk_velocity,risk_phantom,risk_cost_outlier,risk_relationship,risk_temporal,fraud_score,risk_tier
1063520286,4081139.5000000005,11561.0,0,1,1,1,1,0,4,High
1346282068,474737.06999999995,3671.0,1,1,0,1,1,0,4,High
1154467173,924357.6099999998,3261.0,1,1,0,1,1,0,4,High
1639448467,462815.4699999999,3059.0,1,1,0,1,1,0,4,High
1831305978,27941.5,562.0,0,1,0,1,1,1,4,High
1699034827,11236.539999999999,5317.0,0,1,0,1,1,1,4,High
1538538863,92498.73,2810.0,0,1,0,1,1,1,4,High
1093984981,2631.7,4513.0,0,1,0,1,1,1,4,High
1609019819,441495.21,1639.0,1,1,0,1,1,0,4,High
1578709515,1721790.64,17694.0,1,1,0,1,1,0,4,High
1700803467,4806.78,1890.0,0,1,0,1,1,1,4,High
1114231354,38520.159999999996,778.0,0,1,0,1,1,1,4,High
1235100355,254005.95,7004.0,0,1,0,1,1,1,4,High
1679525919,82840636.46,1609384.0,0,1,1,1,1,0,4,High
1003823915,2366483.73,7702.0,1,1,1,1,0,0,4,High
1891724142,14741.17,2406.0,0,1,0,1,1,1,4,High
1992850689,4117386.6599999983,40157.0,0,1,1,1,1,0,4,High
1073888699,228898.29999999993,18098.0,0,1,1,1,0,1,4,High
1699748533,206650.73,1678.0,1,1,0,1,1,0,4,High
1255339750,2551736.3999999985,59072.0,0,1,0,1,1,1,4,High
1851571392,367493.5799999999,11506.0,0,1,1,1,1,0,4,High
1477209740,50077.880000000005,1209.0,1,1,0,1,0,1,4,High
1467923433,324134.9100000001,6827.0,0,1,1,1,1,0,4,High
1780256891,67106.33,890.0,1,1,0,1,1,0,4,High
1386615235,263193.0300000001,13038.0,0,1,1,1,0,1,4,High
1225089634,547117.92,141.0,1,1,0,1,1,0,4,High
1144999145,257877.18,413.0,1,1,0,1,1,0,4,High
1043237944,17248.29,577.0,0,1,0,1,1,1,4,High
1235108713,39676.47,737.0,0,1,0,1,1,1,4,High
1396875746,116882.69,5806.0,0,1,0,1,1,1,4,High
1053366971,117787.96,1942.0,0,1,1,1,0,1,4,High
1972863611,669676.7900000002,10473.0,0,1,0,1,1,1,4,High
1770993370,71325.7,3655.0,0,1,0,1,1,1,4,High
1467401372,77870.9,1755.0,0,1,1,1,1,0,4,High
1972559565,2044920.7899999998,3461.0,1,1,0,1,1,0,4,High
1619055928,13734.150000000001,4364.0,0,1,0,1,1,1,4,High
1235316563,14991.890000000001,22341.0,0,1,0,1,1,1,4,High
1689345746,12807.739999999998,174.0,1,1,0,1,1,0,4,High
1174794317,179195.62,1805.0,0,1,0,1,1,1,4,High
1588638878,49324.72000000001,2613.0,0,1,0,1,1,1,4,High
1801807870,1888516.8100000003,7241.0,1,1,0,1,1,0,4,High
1700027927,806788.91,1691.0,1,1,0,1,1,0,4,High
