BILLING_PROVIDER_NPI_NUM,HCPCS_CODE,provider_cpc,median_cpc,q1_cpc,q3_cpc,iqr,TOTAL_PAID,TOTAL_CLAIMS,upper_fence,excess_ratio,flag_cost_outlier
1194749580,C1894,431.195,0.0,0.0,3.007,3.007,5174.34,12,12.028,43119.5,True
1093761603,A4657,430.5271739130435,0.0,0.0,2.5439215400052153,2.5439215400052153,19804.25,46,10.175686160020861,43052.71739130435,True
1538143318,Q5001,429.8308088235294,0.0,0.0,0.0,0.0,58456.99,136,0.0,42983.080882352944,True
1174586226,A4657,428.71777777777777,0.0,0.0,2.5439215400052153,2.5439215400052153,15433.84,36,10.175686160020861,42871.777777777774,True
1952390239,C1760,428.67869565217393,0.0,0.0,32.448708333333336,32.448708333333336,9859.61,23,129.79483333333334,42867.86956521739,True
1972541498,J7512,427.93939393939394,0.0,0.0,0.25,0.25,14122.0,33,1.0,42793.93939393939,True
1851324339,A4657,427.7113274336283,0.0,0.0,2.5439215400052153,2.5439215400052153,48331.38,113,10.175686160020861,42771.13274336283,True
1386241834,A9578,427.5854166666666,0.0,0.0,10.08475,10.08475,10262.05,24,40.339,42758.541666666664,True
1487649430,J1644,427.57268292682926,0.0,0.0,0.7479166666666667,0.7479166666666667,17530.48,41,2.9916666666666667,42757.26829268292,True
1366459570,C1889,427.44288461538457,0.0,0.0,76.22957142857143,76.22957142857143,22227.03,52,304.91828571428573,42744.288461538454,True
1083726822,82108,427.1502631578947,0.0,0.0,3.3424853801169587,3.3424853801169587,16231.71,38,13.369941520467835,42715.026315789466,True
1780630608,C1725,427.0807142857143,0.0,0.0,8.251176470588236,8.251176470588236,5979.13,14,33.004705882352944,42708.07142857143,True
1093968372,96376,426.8626315789474,0.0,0.0,7.5930608974358975,7.5930608974358975,8110.39,19,30.37224358974359,42686.26315789474,True
1154342814,99368,426.80312499999997,0.0,0.0,17.80235294117647,17.80235294117647,20486.55,48,71.20941176470588,42680.31249999999,True
1447595368,84155,426.17357142857145,0.0,0.0,0.8531762926944971,0.8531762926944971,5966.43,14,3.4127051707779885,42617.357142857145,True
1144268277,90677,426.0,0.0004166666666666667,0.0,13.364736842105264,13.364736842105264,6816.0,16,53.45894736842106,42600.0,True
1992779417,0900,425.7142857142857,0.0,0.0,0.7191978688043796,0.7191978688043796,11920.0,28,2.8767914752175185,42571.42857142857,True
1174586226,A4657,425.6692,0.0,0.0,2.5439215400052153,2.5439215400052153,10641.73,25,10.175686160020861,42566.92,True
1619089455,82040,425.28086956521736,0.0,0.0,1.5431602564102564,1.5431602564102564,9781.46,23,6.172641025641026,42528.086956521736,True
1891788550,84155,425.23521739130433,0.0,0.0,0.8531762926944971,0.8531762926944971,9780.41,23,3.4127051707779885,42523.52173913043,True
1174586226,A4657,425.15722222222223,0.0,0.0,2.5439215400052153,2.5439215400052153,15305.66,36,10.175686160020861,42515.72222222222,True
1396728630,0402,424.6069230769231,0.0,0.0,7.68108108108108,7.68108108108108,5519.89,13,30.72432432432432,42460.69230769231,True
1437195757,90671,424.5358064516129,0.0,0.0,9.446206896551724,9.446206896551724,13160.61,31,37.784827586206895,42453.580645161295,True
1669462420,C1725,424.53499999999997,0.0,0.0,8.251176470588236,8.251176470588236,5943.49,14,33.004705882352944,42453.49999999999,True
1831241033,J3370,424.3028947368421,0.0,0.0,4.041086956521739,4.041086956521739,16123.51,38,16.164347826086956,42430.28947368421,True
1811062763,90381,424.2857142857143,0.0,0.0,1.6654135338345863,1.6654135338345863,5940.0,14,6.661654135338345,42428.57142857143,True
1619028313,Q5001,423.84945652173917,0.0,0.0,0.0,0.0,38994.15,92,0.0,42384.94565217392,True
1891799227,C1726,423.3555,0.0,0.0,0.0,0.0,8467.11,20,0.0,42335.55,True
1982604021,C1889,423.23199999999997,0.0,0.0,76.22957142857143,76.22957142857143,10580.8,25,304.91828571428573,42323.2,True
1407969728,91300,422.9313043478261,0.0,0.0,0.0,0.0,9727.42,23,0.0,42293.13043478261,True
1629007430,C2617,422.60249999999996,0.0,0.0,12.623888888888889,12.623888888888889,5071.23,12,50.495555555555555,42260.24999999999,True
1568962033,Q5002,422.48857142857145,0.0,0.0,0.0,0.0,5914.84,14,0.0,42248.857142857145,True
1639172372,0370,422.34965517241375,0.0,0.0,13.291304347826086,13.291304347826086,12248.14,29,53.165217391304346,42234.96551724138,True
1700979325,82374,421.98999999999995,0.0,0.0,0.8094126506024095,0.8094126506024095,5907.86,14,3.237650602409638,42198.99999999999,True
1073587697,A4657,421.9864912280702,0.0,0.0,2.5439215400052153,2.5439215400052153,24053.23,57,10.175686160020861,42198.649122807015,True
1588656870,J0780,421.95538461538456,0.0,0.0,2.538344277673546,2.538344277673546,16456.26,39,10.153377110694183,42195.538461538454,True
1346522679,A4657,421.49296296296296,0.0,0.0,2.5439215400052153,2.5439215400052153,11380.31,27,10.175686160020861,42149.29629629629,True
1134399397,84520,421.4771428571429,0.0007101568951279934,0.0,1.1554513364769523,1.1554513364769523,11801.36,28,4.621805345907809,42147.71428571429,True
1699748533,D5899,420.71000000000004,0.0,0.0,0.0,0.0,8414.2,20,0.0,42071.0,True
1992786495,S0028,611.2066666666667,0.01453416149068323,0.0,0.8454656862745098,0.8454656862745098,9168.1,15,3.381862745098039,42053.10826210826,True
1699102715,A4657,420.09999999999997,0.0,0.0,2.5439215400052153,2.5439215400052153,7981.9,19,10.175686160020861,42009.99999999999,True
1467560599,J7512,419.9368181818182,0.0,0.0,0.25,0.25,18477.22,44,1.0,41993.681818181816,True
1346352184,84155,419.485,0.0,0.0,0.8531762926944971,0.8531762926944971,5872.79,14,3.4127051707779885,41948.5,True
1760510937,0305,419.3376470588235,0.0,0.0,0.5104761904761905,0.5104761904761905,7128.74,17,2.041904761904762,41933.76470588235,True
1275604977,H0049,419.29714285714283,0.0,0.0,9.373300800800802,9.373300800800802,11740.32,28,37.49320320320321,41929.71428571428,True
1073590923,A4657,419.2122222222222,0.0,0.0,2.5439215400052153,2.5439215400052153,18864.55,45,10.175686160020861,41921.22222222222,True
1205113560,D5899,418.4491803278689,0.0,0.0,0.0,0.0,25525.4,61,0.0,41844.91803278689,True
1205113560,D5899,418.0677586206897,0.0,0.0,0.0,0.0,24247.93,58,0.0,41806.77586206897,True
1174646558,84520,417.8370370370371,0.0007101568951279934,0.0,1.1554513364769523,1.1554513364769523,11281.6,27,4.621805345907809,41783.70370370371,True
1750612446,G8907,417.80470588235295,0.0,0.0,0.0,0.0,7102.68,17,0.0,41780.470588235294,True
1437168440,82310,417.7730434782609,0.0,0.0,1.2210526315789474,1.2210526315789474,28826.34,69,4.88421052631579,41777.30434782609,True
1386643294,J2704,417.62448275862073,0.0,0.0,1.6421052631578947,1.6421052631578947,12111.11,29,6.568421052631579,41762.44827586207,True
1801992631,C1889,416.7970418006431,0.0,0.0,76.22957142857143,76.22957142857143,259247.76,622,304.91828571428573,41679.70418006431,True
1417925025,G0008,416.6826315789474,0.0,0.0,2.9735416666666667,2.9735416666666667,7916.97,19,11.894166666666667,41668.26315789474,True
1063657088,85048,416.49111111111114,0.0,0.0,0.5425519776876269,0.5425519776876269,7496.84,18,2.1702079107505075,41649.11111111111,True
1063657088,85041,416.49111111111114,0.0,0.0,0.4364705882352941,0.4364705882352941,7496.84,18,1.7458823529411764,41649.11111111111,True
1689225351,98961,416.1818181818182,0.0,0.0,0.0,0.0,13734.0,33,0.0,41618.181818181816,True
1447275037,91307,416.02,0.0,0.0,0.0,0.0,8320.4,20,0.0,41602.0,True
1053597666,G0008,415.84153846153845,0.0,0.0,2.9735416666666667,2.9735416666666667,5405.94,13,11.894166666666667,41584.153846153844,True
1790130250,90677,415.56887500000005,0.0004166666666666667,0.0,13.364736842105264,13.364736842105264,33245.51,80,53.45894736842106,41556.887500000004,True
1235371378,C1729,415.14708333333334,0.0,0.0,0.12794117647058825,0.12794117647058825,9963.53,24,0.511764705882353,41514.708333333336,True
1205113560,D5899,415.08780487804876,0.0,0.0,0.0,0.0,17018.6,41,0.0,41508.78048780488,True
1649217175,90677,415.0769230769231,0.0004166666666666667,0.0,13.364736842105264,13.364736842105264,10792.0,26,53.45894736842106,41507.69230769231,True
1285641514,C1889,415.0453731343284,0.0,0.0,76.22957142857143,76.22957142857143,27808.04,67,304.91828571428573,41504.53731343283,True
1457449282,82040,414.86839999999995,0.0,0.0,1.5431602564102564,1.5431602564102564,20743.42,50,6.172641025641026,41486.84,True
1538731500,H0030,414.6,0.0,0.0,0.0,0.0,80017.8,193,0.0,41460.0,True
1619213741,D5899,414.12,0.0,0.0,0.0,0.0,5797.68,14,0.0,41412.0,True
1013981455,A4657,413.99470588235295,0.0,0.0,2.5439215400052153,2.5439215400052153,21113.73,51,10.175686160020861,41399.470588235294,True
1700148632,A4657,413.8609090909091,0.0,0.0,2.5439215400052153,2.5439215400052153,9104.94,22,10.175686160020861,41386.09090909091,True
1033135306,A4657,413.6378571428572,0.0,0.0,2.5439215400052153,2.5439215400052153,5790.93,14,10.175686160020861,41363.78571428572,True
1124368808,Q5001,413.3895652173913,0.0,0.0,0.0,0.0,85571.64,207,0.0,41338.95652173913,True
1861538209,Q5001,412.9186492374728,0.0,0.0,0.0,0.0,189529.66,459,0.0,41291.86492374728,True
1891756276,A4657,412.6316666666667,0.0,0.0,2.5439215400052153,2.5439215400052153,12378.95,30,10.175686160020861,41263.16666666667,True
1578620449,L8613,412.62825000000004,0.0,0.0,9.549999999999999,9.549999999999999,16505.13,40,38.199999999999996,41262.825000000004,True
1619089471,A4657,412.49364985163203,0.0,0.0,2.5439215400052153,2.5439215400052153,139010.36,337,10.175686160020861,41249.3649851632,True
1861504607,84520,412.04304347826087,0.0007101568951279934,0.0,1.1554513364769523,1.1554513364769523,18953.98,46,4.621805345907809,41204.30434782609,True
1285029264,A4657,411.9451315789474,0.0,0.0,2.5439215400052153,2.5439215400052153,31307.83,76,10.175686160020861,41194.51315789474,True
1346352184,A4657,411.8868902439024,0.0,0.0,2.5439215400052153,2.5439215400052153,67549.45,164,10.175686160020861,41188.689024390245,True
1508965625,A4657,411.87882352941176,0.0,0.0,2.5439215400052153,2.5439215400052153,7001.94,17,10.175686160020861,41187.882352941175,True
1346522679,A4657,411.85923076923075,0.0,0.0,2.5439215400052153,2.5439215400052153,10708.34,26,10.175686160020861,41185.92307692307,True
1346439387,84520,411.68833333333333,0.0007101568951279934,0.0,1.1554513364769523,1.1554513364769523,9880.52,24,4.621805345907809,41168.833333333336,True
1588659528,C1894,411.66476190476186,0.0,0.0,3.007,3.007,8644.96,21,12.028,41166.47619047618,True
1710945969,90677,410.6666666666667,0.0004166666666666667,0.0,13.364736842105264,13.364736842105264,4928.0,12,53.45894736842106,41066.666666666664,True
1346439387,J1644,410.51058394160583,0.0,0.0,0.7479166666666667,0.7479166666666667,56239.95,137,2.9916666666666667,41051.05839416058,True
1235148297,84155,410.16166666666663,0.0,0.0,0.8531762926944971,0.8531762926944971,9843.88,24,3.4127051707779885,41016.166666666664,True
1699703827,99368,409.72,0.0,0.0,17.80235294117647,17.80235294117647,7374.96,18,71.20941176470588,40972.0,True
1699703827,99368,409.72,0.0,0.0,17.80235294117647,17.80235294117647,16798.52,41,71.20941176470588,40972.0,True
1699703827,99368,409.71999999999997,0.0,0.0,17.80235294117647,17.80235294117647,8194.4,20,71.20941176470588,40971.99999999999,True
1699703827,99368,409.71999999999997,0.0,0.0,17.80235294117647,17.80235294117647,11881.88,29,71.20941176470588,40971.99999999999,True
1831122241,99368,409.71999999999997,0.0,0.0,17.80235294117647,17.80235294117647,9423.56,23,71.20941176470588,40971.99999999999,True
1467560599,J7512,409.6177142857143,0.0,0.0,0.25,0.25,14336.62,35,1.0,40961.77142857143,True
1043215379,0300,409.55258064516124,0.0,0.0,9.460583190394512,9.460583190394512,12696.13,31,37.84233276157805,40955.25806451612,True
1417258245,G0499,409.4626666666667,0.0,0.0,0.11480972515856236,0.11480972515856236,30709.7,75,0.45923890063424944,40946.26666666667,True
1508118977,A4657,409.3974193548387,0.0,0.0,2.5439215400052153,2.5439215400052153,12691.32,31,10.175686160020861,40939.74193548387,True
1356890172,G8918,409.37307692307695,0.0,0.0,0.0,0.0,5321.85,13,0.0,40937.307692307695,True
1215930995,G8978,408.5761111111111,0.0,0.0,0.0,0.0,14708.74,36,0.0,40857.61111111111,True
1437259694,94761,408.36839999999995,0.0,0.0,3.3966084229390683,3.3966084229390683,10209.21,25,13.586433691756273,40836.84,True
1376885228,82374,407.8961111111111,0.0,0.0,0.8094126506024095,0.8094126506024095,7342.13,18,3.237650602409638,40789.61111111111,True
1790897551,A4657,407.6917901234568,0.0,0.0,2.5439215400052153,2.5439215400052153,66046.07,162,10.175686160020861,40769.17901234568,True
1174539548,90671,406.8976,0.0,0.0,9.446206896551724,9.446206896551724,10172.44,25,37.784827586206895,40689.76,True
1578620449,L8613,406.7517142857143,0.0,0.0,9.549999999999999,9.549999999999999,14236.31,35,38.199999999999996,40675.171428571426,True
1356890172,G8918,405.24263157894734,0.0,0.0,0.0,0.0,7699.61,19,0.0,40524.26315789473,True
