CLAIM_FROM_MONTH,total_paid,total_claims,total_bene,active_providers,active_codes,avg_cost_per_claim,avg_cost_per_bene
2022-09-01,15268172192.7103,263892615.0,160193966.0,258297,6596,52.04422117187935,92.89910109823236
2022-10-01,15854981611.14038,269996140.0,165023707.0,261551,6617,52.18226694885485,93.37783543869712
2022-11-01,15675981809.010265,263677624.0,161598929.0,258432,6567,52.93452289299334,94.03515638556456
2022-12-01,15297538611.30028,251420641.0,151497788.0,251442,6494,53.648656559657866,97.03582948323566
2023-01-01,16594310221.529875,280827661.0,169068899.0,263617,6689,53.710194048848535,97.32441926867996
2023-02-01,15394753399.570412,259922326.0,159161069.0,258452,6634,53.6648500010686,95.68718779670809
2023-03-01,17668427237.50019,298461892.0,181503538.0,271651,6889,53.84560359025965,97.16641473256318
2023-04-01,16091892914.069996,265379484.0,160074705.0,259681,6633,53.98374772038367,98.19503206969551
2023-05-01,17280277362.91987,287129748.0,173088160.0,267084,6806,53.72945013613129,98.25448438675248
2023-06-01,16029192012.86982,261269038.0,159831609.0,257278,6757,54.030648490125465,98.25807753820378
2023-07-01,15725897305.96004,246824756.0,149350862.0,247411,6601,55.23975070431442,102.18035690139706
2023-08-01,17348504365.58002,279910801.0,172191912.0,261549,6814,54.13820319915204,99.22345129969119
2023-09-01,16361790144.499977,259464154.0,157552161.0,253825,6638,54.76689133431458,100.20959612083796
2023-10-01,17484140655.949825,276564708.0,167534255.0,261465,6752,54.766851304436834,101.42133409245143
2023-11-01,16663518408.739729,259356081.0,156863590.0,253968,6620,55.201158722982754,102.26662706012448
2023-12-01,16152279164.0898,243448023.0,146156238.0,244184,6453,56.5705088718311,105.06542889683386
2024-01-01,17783239324.26978,272010590.0,162984803.0,256264,6639,57.363809472474514,106.63432672097235
2024-02-01,17169976799.299734,266795878.0,160469214.0,255035,6633,56.37934090376414,104.82868125842172
2024-03-01,17501161887.4498,264969435.0,158793817.0,253950,6625,57.305372132801715,107.16947241727783
2024-04-01,17396698624.09975,267197354.0,160628916.0,255881,6678,56.88846986518585,105.83430340458915
2024-05-01,17580257320.489967,262777836.0,157025310.0,253766,6662,57.60103789251658,108.27498207477552
2024-06-01,15770419278.25967,228543520.0,137979972.0,238627,6462,58.000318996859335,109.16456595270843
2024-07-01,16423060106.689758,242983356.0,146362442.0,239909,6502,57.108890133869274,108.71378372214376
2024-08-01,16347006139.249783,246659583.0,152243897.0,242152,6542,56.62782382712317,105.84400062592664
2024-09-01,15626350800.42982,233168618.0,143311522.0,236868,6430,57.16731737029211,105.98263134043694
2024-10-01,16310402111.529715,244177082.0,150107391.0,237918,6430,56.48241585045377,106.21369236136266
2024-11-01,12874830358.750189,183954822.0,112295024.0,204539,5790,57.782427524441005,109.3189933888136
2024-12-01,4199364318.949976,63394189.0,40837668.0,117151,4066,56.55816019090616,100.01434595030321
