BILLING_PROVIDER_NPI_NUM,HCPCS_CODE,CLAIM_FROM_MONTH,TOTAL_PAID,TOTAL_CLAIMS,TOTAL_UNIQUE_BENEFICIARIES,cost_per_bene,avg_cpb,std_cpb,z_score
1992727663,86901,2019-04,33282.92,15,12,2773.5766666666664,5.833774321389911,25.383121924282182,109.03871086470173
1427063270,99051,2022-03,35488.39,450,13,2729.876153846154,11.601371038183501,24.96074973730262,108.9019685472685
1487180097,J0887,2024-11,1679233.31,22,14,119945.23642857143,153.14207134664363,1100.3708778886494,108.86519878377496
1295720449,96374,2018-11,93090.82,37,13,7160.832307692308,41.22973218211804,65.39890386830548,108.86424931290921
1215921457,90686,2019-09,35181.76,32,31,1134.8954838709678,5.999689701320795,10.374967198045379,108.80957718905641
1386643294,J2405,2023-05,59278.25,23,18,3293.2361111111113,3.9891132031056764,30.239134960474775,108.7745070157378
1891732889,85027,2018-03,48375.06,17,16,3023.44125,6.4299171863625215,27.838120711678023,108.37697573270485
1407243223,1125F,2020-07,6543.62,14,14,467.40142857142854,0.15140602187927527,4.311844880730294,108.36429312141941
1093933194,G0467,2021-09,102678.63,13,12,8556.5525,41.29073281582908,78.64660035923755,108.27247113401766
1407243223,1125F,2020-08,8400.81,18,18,466.71166666666664,0.15140602187927527,4.311844880730294,108.20432403073053
1063567691,99173,2022-04,50085.0,62,60,834.75,2.861695663687152,7.7003204340125695,108.03294635140568
1104960558,G8427,2022-11,6030.56,14,14,430.75428571428574,0.32252913536765104,3.999157296208301,107.63061432642847
1437260296,93010,2019-10,19192.47,33,28,685.4453571428572,6.575145684216154,6.308937062719922,107.60453063799706
1023088473,D0272,2020-11,62172.24,56,35,1776.3497142857143,16.428608668250547,16.363450674257216,107.55195469780409
1487868097,84156,2024-02,256718.7,20,16,16044.91875,4.87009876546131,149.40869155080784,107.35686448187633
1487868097,84156,2024-01,256712.04,21,16,16044.5025,4.87009876546131,149.40869155080784,107.35407849937639
1407243223,1125F,2020-07,5555.32,12,12,462.9433333333333,0.15140602187927527,4.311844880730294,107.33037484249
1215921457,83615,2023-02,47670.41,32,20,2383.5205,4.98077679802598,22.173004126014636,107.27187482959674
1639523004,J1170,2019-01,84298.28,20,15,5619.885333333334,5.875702310003217,52.34732988602242,107.24538659845497
1528105558,99233,2023-11,922700.16,648,63,14646.034285714286,116.02149923914092,135.48590847622606,107.24371965978108
1699769901,88304,2019-05,97482.92,17,14,6963.065714285714,17.295620606953797,64.77774183283476,107.22464070456473
1760056022,T1015,2024-06,693453.93,1025,29,23912.20448275862,212.14783380878754,221.32942797845,107.08045859702587
1699703827,99231,2024-04,105479.44,357,12,8789.953333333333,48.02219696333976,81.77872238413788,106.89737967911336
1952390239,87075,2019-04,26209.24,22,12,2184.1033333333335,6.302062426182972,20.385364162501087,106.83160985238712
1831305978,99214,2018-07,74666.76,84,13,5743.596923076922,65.80165677103726,53.17356678696534,106.77852943462328
1477827624,3074F,2019-12,2974.79,40,12,247.89916666666667,0.25456626604012184,2.322883497664047,106.6108570015089
1164843835,92507,2018-05,453388.44,1458,23,19712.54086956522,217.8982519436209,183.50264416136517,106.23630360595108
1952546616,J1200,2019-07,141622.5,28,20,7081.125,5.074590981775759,66.67613355086121,106.12568594159023
1073535027,D1351,2020-07,83016.15,13,13,6385.857692307692,98.53557432617418,59.253109840705896,106.10957188380739
1972704013,99308,2020-07,51613.56,32,15,3440.904,21.413831726744387,32.341922350217565,105.72934197432618
1962434969,99214,2019-02,113725.76,30,20,5686.288,65.80165677103726,53.17356678696534,105.70075853190153
1275570376,J2704,2018-06,58845.41,26,17,3461.494705882353,4.765473781348621,32.7131755705591,105.66779812143824
1730389248,97110,2018-08,236394.96,642,13,18184.227692307693,121.47316033369601,171.03475098450036,105.60868144048045
1891775128,3078F,2024-08,3290.36,26,20,164.518,0.19897535386414913,1.5562085143180346,105.58933660515547
1932197258,99460,2023-04,101871.47,16,13,7836.266923076923,72.4615467174607,73.68041658059227,105.37135560121794
1598873382,99214,2020-02,85022.55,20,15,5668.17,65.80165677103726,53.17356678696534,105.36002532375343
1154373843,84156,2024-06,283213.22,19,18,15734.067777777776,4.87009876546131,149.40869155080784,105.27632305556637
1134152986,J2405,2019-02,66880.04,26,21,3184.7638095238094,3.9891132031056764,30.239134960474775,105.1873573922752
1437255155,3725F,2024-03,1815.38,75,12,151.28166666666667,0.0768500203836513,1.4403070225647598,104.98096189035589
1407243223,1159F,2020-08,8400.79,27,27,311.1403703703704,0.13282643491109145,2.969876198872496,104.7207099250576
1023088473,D0220,2019-08,43018.85,17,17,2530.520588235294,11.376154480876696,24.064635254292497,104.68242743488365
