CLAIM_FROM_MONTH,total_paid,total_claims,providers,paid_3m_avg,paid_6m_avg,paid_12m_avg,cumulative_paid,paid_std_6m,cv_6m
2019-09-01,10530148010.349922,201493119.0,231361,11016571613.583273,10638698446.854979,10875040808.455776,202212474633.24817,706638244.5969905,0.06642149395689352
2019-10-01,11890862793.230022,229836010.0,243432,11038607495.226679,10813849662.179968,10849097484.419107,214103337426.47818,546290245.8888357,0.05051764754964319
2019-11-01,10694811682.100092,197813102.0,228279,11119823640.590006,11155941947.926613,10672326844.865782,224798149108.57828,794918789.1191288,0.07125519232975826
2019-12-01,10773796446.439905,195213165.0,225437,11295312282.269953,11282398453.60829,10546316781.883286,235571945555.0182,753544275.4162827,0.06678936916780201
2020-01-01,12417328718.26986,231493965.0,242759,11526189411.989899,11248570459.343279,10601604984.578272,247989274273.28806,797350657.5036856,0.07088462132904993
2020-02-01,11387443071.259933,210768595.0,236134,11377317278.096552,10690352163.156607,10658165199.894918,259376717344.54797,1282544217.851541,0.11997212049493758
2020-03-01,10327180044.759863,175476623.0,215936,10085392044.04326,10453935116.911592,10684572456.422411,269703897389.30783,1406324092.8621757,0.13452581034170855
2020-04-01,8541553016.109984,126498275.0,162138,9381680821.833284,10389360306.976578,10752546937.124895,278245450405.4178,1397567503.804319,0.13451911017715268
2020-05-01,9276309404.630003,146927456.0,185451,9401403335.856604,10160388451.863226,10783039113.73322,287521759810.0478,1073931625.4333403,0.10569789044201369
2020-06-01,10386347586.829817,180029356.0,211834,10235384859.683195,10086746459.236532,10877216422.831522,297908107396.8776,984376656.1698233,0.09759109740172164
2020-07-01,11043497587.58976,193266077.0,217645,10791812096.63978,10256523414.906515,11007519293.808178,308951604984.4674,1113512858.7177665,0.10856630591798984
2020-08-01,10945591115.499763,193099010.0,220412,11111643493.956425,10875726064.30983,11022278982.069845,319897196099.96716,995885685.0557529,0.0915695815770762
2020-09-01,11345841778.779753,204909864.0,230141,11516067268.936468,11300497728.751455,11049623648.359007,331243037878.7469,666217378.316678,0.05895469335139503
2020-10-01,12256768912.529884,220267867.0,241242,11809183360.863129,11625678280.639778,11367051255.516493,343499806791.2768,604041975.9820001,0.05195756853068179
2020-11-01,11824939391.279749,207113269.0,237363,12139713067.323133,11884169512.27646,11785743744.049812,355324746182.5565,636082038.129284,0.05352347401913152
2020-12-01,12337430898.159763,214312315.0,238611,12252271755.616455,12012500837.481482,12113427803.138123,367662177080.7163,462964697.01564676,0.03854024264215669
2021-01-01,12594444977.409855,222768005.0,244592,12215818314.099833,12477579096.126472,12365848816.44145,380256622058.12616,876359691.4247973,0.07023475344643205
2021-02-01,11715579066.729877,206952736.0,241312,12815445124.929815,12695761423.789795,12575730915.01478,391972201124.856,968505532.14341,0.0762857381935823
2021-03-01,14136311330.649712,258070549.0,263709,13139251091.963133,12926357877.524796,12847158273.51478,406108512455.50574,880403872.4180228,0.0681091983341101
2021-04-01,13565862878.509806,245380331.0,259223,13636897440.949759,13106019352.24312,13070393676.511429,419674375334.01556,845483575.5249892,0.06451108859230267
2021-05-01,13208518113.689754,232574191.0,253789,13396593579.556425,13267292317.753103,13229467931.970587,432882893447.7053,820298002.7337403,0.06182859193025324
2021-06-01,13415399746.469715,237429997.0,254208,13395333543.54307,13681815709.548082,13402737353.14308,446298293194.17505,400168978.785947,0.029248236292693408
2021-07-01,13562082770.469746,238882520.0,248266,13726733978.146406,13663208256.896383,13546495606.498896,459860375964.6448,376717163.86112523,0.027571647652445068
2021-08-01,14202719417.499758,256226837.0,256607,13929822934.236338,13763174440.151377,13697996570.038046,474063095382.14453,422516577.2741156,0.030699064311900743
2021-09-01,14024666614.739508,255309350.0,256882,14131015336.759682,13879116828.761362,13825927166.01887,488087761996.88403,323784577.2990562,0.023328903509774134
2021-10-01,14165659978.03978,255714420.0,259236,14031499679.376322,13986971860.754671,13955900770.513857,502253421974.9238,233663369.53620565,0.016705786775179678
2021-11-01,13904172445.349682,248630420.0,256673,14044120787.27301,14128700822.322989,14042843794.963007,516157594420.2735,174915255.57172096,0.012380137266078938
2021-12-01,14062529938.429567,246625408.0,252714,14126386307.886297,13970038622.48966,14188500709.912169,530220124358.70306,391729525.35270953,0.028040690218428168
2022-01-01,14412456539.879637,251898388.0,252426,13908577565.602997,14248593284.131338,14291424415.679659,544632580898.5827,809647290.3187423,0.05682296309351792
2022-02-01,13250746218.499786,235438630.0,249653,14453065780.989662,14322513149.774637,14333583637.608833,557883327117.0825,820731751.9848275,0.05730361308816404
2022-03-01,15695994584.58956,280314489.0,266470,14518639991.662981,14497884591.062971,14468776136.94549,573579321701.6721,825866474.5286458,0.05696461917194045
2022-04-01,14609179171.8996,254562730.0,256690,15087191616.522943,14595876970.604647,14572401601.77633,588188500873.5718,798300081.6642865,0.05469353319927417
2022-05-01,14956401093.079672,257888000.0,257589,14738688160.219633,14538466452.894676,14713178404.534643,603144901966.6515,826033567.220599,0.0568171044653841
2022-06-01,14650484215.679626,250499963.0,253680,14558292914.126368,14967513651.401321,14860829184.83964,617795386182.331,678850369.2182256,0.04535491899515781
2022-07-01,14067993433.61981,234428626.0,243395,14847835686.279694,14896209919.421324,14963746574.245483,631863379615.9508,605540233.8764552,0.04065062436364879
2022-08-01,15825029409.53965,273676256.0,260742,15053731678.623016,15103843659.294647,15145567714.382973,647688409025.4905,694489850.3837779,0.0459810009988021
2022-09-01,15268172192.70959,263892615.0,258297,15649394404.462927,15223773778.616308,15324234979.47213,662956581218.2001,725380467.3872324,0.04764787482628781
2022-10-01,15854981611.139542,269996140.0,261551,15599711870.95292,15331616177.88632,15488604367.214628,678811562829.3396,669011889.4939625,0.04363609692100936
