BILLING_PROVIDER_NPI_NUM,CLAIM_FROM_MONTH,monthly_paid,monthly_claims,rolling_mean,rolling_std,spike_ratio,z_spike,flag_spike
1003114851,2021-05-01,13768.53,130.0,3949.0399999999995,2284.922782086957,3.4865511618013496,4.297515030696693,True
1003114851,2022-08-01,13857.789999999999,196.0,3959.070000000001,1885.576823123374,3.5002639508773514,5.249703898886076,True
1003114851,2023-03-01,15187.349999999999,160.0,4934.660000000001,2396.96509951648,3.0776892430278875,4.277363071355603,True
1003116344,2019-09-01,4481.3,312.0,478.73,345.42166260962847,9.36080880663422,11.587489822615515,True
1003116344,2023-12-01,29467.62,119.0,1764.3566666666666,2090.0662956550764,16.7016230656311,13.254729474813368,True
1003118100,2021-04-01,1436.4,18.0,553.6666666666666,90.64399226277095,2.5943407585791696,9.73846485903167,True
1003118100,2024-10-01,3045.0,60.0,943.3333333333334,273.1910198621706,3.2279151943462896,7.693029835779346,True
1003119876,2020-11-01,16743.46,211.0,1.2433333333333334,2.1535165039960926,13466.589812332439,7774.361903240397,True
1003120411,2022-06-01,2076.71,41.0,449.2033333333332,371.4033005148625,4.6230957027626705,4.382046859601181,True
1003120452,2021-03-01,3212.25,213.0,876.0933333333332,520.0239446730636,3.6665614013727614,4.492402110705491,True
1003121310,2019-10-01,806.82,108.0,58.129999999999995,25.749860193795158,13.879580251161192,29.075497667377974,True
1003121310,2019-12-01,2511.67,926.0,316.10333333333335,425.19145785555634,7.9457244993725675,5.163713019400621,True
1003121310,2021-11-01,3778.8900000000003,1205.0,336.58666666666664,228.7484568982566,11.227093566788149,15.048422096523307,True
1003124215,2021-03-01,1606.0,32.0,875.68,85.13121166763706,1.8340032888726476,8.578757258281028,True
1003125568,2023-01-01,24545.19,175.0,4288.443333333334,4052.288017581343,5.723566360132231,4.998841784883087,True
1003130816,2021-05-01,8979.0,220.0,1240.7066666666667,1335.9562964907698,7.237004717741502,5.792325208287079,True
1003130816,2022-11-01,2489.04,47.0,1199.9566666666667,248.20806278877697,2.0742749043715465,5.193559463176394,True
1003134024,2020-01-01,910.04,16.0,1.2166666666666666,2.107328482542134,747.9780821917808,431.267996832175,True
1003134024,2024-01-01,1420.6,20.0,57.973333333333336,53.18866545922481,24.50436982520699,25.618741416087524,True
1003134115,2024-06-01,1824.0,48.0,158.11333333333334,137.12443849778646,11.536029008727915,12.148721882960043,True
1003134545,2018-11-01,15817.15,59.0,15.626666666666667,27.066180619609657,1012.189633105802,583.8106068753937,True
1003134545,2019-12-01,30593.58,273.0,10.0,17.320508075535578,3059.358,1765.7438145938631,True
1003134545,2021-03-01,26904.93,121.0,47.51333333333333,33.19351944788209,566.260628595482,809.1162706875997,True
1003134545,2021-09-01,76.32,61.0,14.896666666666667,13.112285586061223,5.123293801745357,4.684410885515511,True
1003134545,2021-10-01,5713.62,149.0,40.336666666666666,31.250587727121566,141.64829352946037,181.54165236417742,True
1003134545,2022-06-01,19714.34,72.0,1954.3766666666668,3256.458373668132,10.087277614516477,5.453766422117105,True
