BILLING_PROVIDER_NPI_NUM,SERVICING_PROVIDER_NPI_NUM,shared_codes,shared_months,relationship_paid,relationship_claims,billing_total,concentration_pct,flag_concentrated,flag_broad,flag_any
1629540869,1013370675,1,3,336491.86,1160.0,336491.86,100.0,True,False,True
1558672279,1235528225,8,9,331999.2,1434.0,375885.63,88.32452573406438,False,True,True
1689665911,A585713900,47,38,331954.81999999983,6237.0,417233.4399999998,79.56093356275565,False,True,True
1265599732,1720009269,9,11,331404.5,1857.0,500852.6,66.16807020668357,False,True,True
1609922194,A585713900,7,8,330374.92,1855.0,1951288.65,16.931114727695466,False,True,True
1811453434,1093226318,1,2,329150.83,833.0,334201.17000000004,98.48883234011419,True,False,True
1871698472,1942284427,3,3,328834.72000000003,116.0,353838.7,92.9335089689172,True,False,True
1811994973,1730407545,1,2,327350.13,1337.0,356817.22000000003,91.7416850005165,True,False,True
1598268849,1922465053,15,22,324331.98000000004,7418.0,324331.98000000004,100.0,True,True,True
1821415142,1770748030,7,13,323381.9100000001,601.0,375279.72000000003,86.17089940271754,False,True,True
1083355424,1750648168,3,3,322643.37,2051.0,322643.37,100.0,True,False,True
1912976408,1164578795,22,21,322316.17,3688.0,2055517.3199999998,15.680537783062807,False,True,True
1134165970,1881630614,68,46,321414.23000000016,28208.0,524088.52000000014,61.32823325342064,False,True,True
1306038948,1013013093,1,2,321293.23,145.0,321293.23,100.0,True,False,True
1982192597,1770894594,2,2,321275.93000000005,1278.0,343893.21,93.42316761648189,True,False,True
1134487556,A397151100,1,2,320239.99,3007.0,320239.99,100.0,True,False,True
1366479099,1780620526,102,65,318855.86000000016,17748.0,1116431.58,28.56026878064486,False,True,True
1780621904,A565813600,109,53,317016.1700000001,11573.0,1908506.3100000003,16.610695408180234,False,True,True
1841786308,1609101328,1,2,316368.0,3909.0,316368.0,100.0,True,False,True
1164057907,1386221380,1,1,314004.56,2271.0,315717.11,99.45756820084918,True,False,True
1154979615,1740264720,1,1,311060.66,1292.0,311060.66,100.0,True,False,True
1407897309,M859323000,61,42,309093.0099999999,6852.0,7612542.61,4.060312379650507,False,True,True
